metabolites,numOfPathway
HMDB00732,1
254760594,1
C00068,1
26739,1
6816,1
110-60-1,1
HMDB60069,1
HMDB01877,1
HMDB60585,1
HMDB00024,1
C00415,1
C00307,1
29034,1
7827589,1
HMDB01473,1
58178,1
16474,1
49172,1
4481,1
29191,1
HMDB02343,1
HMDB01072,1
HMDB01406,1
C00365,1
16802,1
16680,1
HMDB00294,1
77326,1
22210,1
289,1
28494,1
HMDB01035,1
2208-41-5,1
16218924,1
516-42-7,1
164227414,1
HMDB01335,1
52974,1
28119,1
HMDB00292,1
879-37-8,1
C00719,1
HMDB60685,1
53481295,1
8041295,1
HMDB01930,1
HMDB00182,1
27353,1
HMDB01846,1
331001-62-8 ,1
C01010,1
HMDB01046,1
C00003,1
53481235,1
18035,1
7991398,1
C00402,1
17761,1
HMDB00156,1
104757,1
6123,1
358-71-4,1
5044,1
63-68-3,1
HMDB01356,1
HMDB00054,1
HMDB03125,1
HMDB00714,1
C00624,1
15525,1
3052567,1
HMDB01520,1
HMDB01409,1
C00025,1
28571995,1
C01352,1
HMDB06465,1
76273,1
35664,1
HMDB01389,1
HMDB02012,1
5013,1
307,1
136368185,1
219685-50-4,1
6699-20-3,1
HMDB42011,1
HMDB01562,1
HMDB01051,1
HMDB00876,1
HMDB00011,1
29108,1
HMDB00131,1
29033,1
24913,1
C04637,1
HMDB01565,1
96901,1
2800-34-2,1
37296,1
HMDB04135,1
HMDB00362,1
HMDB01427,1
439199  ,1
6758,1
17513,1
58-61-7,1
441,1
91475,1
2733526,1
C01026,1
HMDB03333,1
HMDB00286,1
4033-27-6,1
HMDB00121,1
979-92-0,1
107-97-1,1
5757,1
749,1
70608-72-9,1
HMDB04068,1
HMDB02168,1
116545,1
HMDB01440,1
HMDB05083	,1
17732,1
HMDB00641,1
HMDB00574,1
59333-67-4,1
2777129,1
29987,1
19138,1
HMDB01256,1
C00186,1
HMDB01429,1
HMDB04928,1
HMDB00072,1
73-22-3,1
HMDB01368,1
439153,1
57-83-0,1
HMDB60740,1
15531,1
20506,1
11245227,1
HMDB00898,1
HMDB01198,1
C02737,1
9001-31-4,1
36702,1
64-85-7,1
553-12-8,1
C03912,1
HMDB00068,1
HMDB03540,1
161824,1
25203490,1
15978,1
HMDB04926,1
5311281,1
HMDB04483,1
271,1
15346,1
275174963,1
4151-19-3,1
HMDB00232,1
4708,1
HMDB00902,1
28790,1
73023-76-4,1
24747352,1
29164,1
HMDB00686,1
31619,1
C00234,1
3098,1
5282360,1
HMDB01085,1
C00355,1
617,1
HMDB01043,1
245126-95-8,1
24316,1
HMDB00247,1
17026,1
6006,1
1673,1
HMDB00118,1
HMDB04938,1
HMDB01076,1
59729-33-8,1
29101,1
6244-92-4,1
HMDB04962,1
HMDB02664,1
HMDB00263,1
40757-80-0,1
53239726,1
HMDB00124,1
C05465,1
18300,1
6167,1
HMDB01039,1
5489029,1
C00311,1
29153,1
15379,1
HMDB01401,1
35457,1
16144,1
HMDB04077,1
30805,1
12071,1
5886,1
HMDB12133,1
50-67-9,1
64017,1
HMDB02183,1
2828334,1
HMDB01991,1
HMDB00051,1
HMDB01185,1
135307150,1
HMDB04855,1
HMDB01157,1
HMDB00162,1
4122,1
162247440,1
HMDB00061,1
HMDB01413,1
C00026,1
661,1
HMDB00338,1
C00036,1
C00011,1
15859,1
32988,1
44641,1
1210-83-9,1
HMDB01330,1
HMDB00280,1
HMDB04249,1
25350,1
HMDB00343,1
HMDB04086,1
HMDB00960,1
30089,1
HMDB01893,1
51277,1
28969,1
63-91-2,1
28087,1
15076,1
57-00-1,1
HMDB01354,1
2336,1
33190,1
27284,1
C00346,1
8096945,1
6131,1
22984,1
HMDB00684,1
50867,1
HMDB03419,1
C00122,1
HMDB00138,1
442972,1
HMDB00216,1
194066,1
HMDB00181,1
457831,1
HMDB11103,1
HMDB01491,1
HMDB07008,1
C00245,1
51-84-3,1
73566-35-5,1
18272,1
52326,1
HMDB00158,1
