metabolites,numOfPathway
HMDB0003374,1
HMDB0001014,2
HMDB0060653,1
HMDB0006889,7
HMDB0004234,41
HMDB0014515,2
HMDB0014723,1
HMDB0001064,1
HMDB0015078,1
HMDB0000574,66
HMDB0014096,1
HMDB0003411,12
HMDB0001035,23
HMDB0004370,1
HMDB0000034,17
HMDB0000517,30
HMDB0001345,1
HMDB0001562,4
HMDB0006901,5
HMDB0001430,8
HMDB0015372,1
HMDB0006323,1
HMDB0015469,1
HMDB0015129,1
HMDB0001206,128
HMDB0015603,1
HMDB0001375,43
HMDB0001066,7
HMDB0001318,11
HMDB0001554,23
HMDB0006814,2
HMDB0001090,23
HMDB0012454,7
HMDB0003419,3
HMDB0006915,8
HMDB0001362,37
HMDB0014952,1
HMDB0000226,5
HMDB0006230,1
HMDB0001913,2
HMDB0010037,2
HMDB0003850,1
HMDB0060656,3
HMDB0000021,2
HMDB0006834,1
HMDB0000026,9
HMDB0000292,17
HMDB0003502,2
HMDB0001095,3
HMDB0001264,11
HMDB0000071,17
HMDB0010708,6
HMDB0015420,1
HMDB0014580,1
HMDB0014850,1
HMDB0060692,2
HMDB0001347,23
HMDB0003335,17
HMDB0060615,2
HMDB0000302,8
HMDB0059658,4
HMDB0015471,1
HMDB0014743,1
HMDB0001848,2
HMDB0010726,1
HMDB0011118,1
HMDB0010718,1
HMDB0001143,2
HMDB0010727,1
HMDB0001369,12
HMDB0000801,3
HMDB0001967,226
HMDB0001121,6
HMDB0003571,17
HMDB0001261,5
HMDB0006762,11
HMDB0015024,1
HMDB0002234,12
HMDB0000213,2
HMDB0015019,2
HMDB0006769,3
HMDB0041812,2
HMDB0001117,1
HMDB0014668,1
HMDB0000121,5
HMDB0006878,6
HMDB0013899,1
HMDB0006953,1
HMDB0004058,8
HMDB0006806,4
HMDB0014813,2
HMDB0001860,1
HMDB0000492,86
HMDB0002142,91
HMDB0002273,12
HMDB0002134,8
HMDB0001024,8
HMDB0000228,2
HMDB0006246,1
HMDB0002434,6
HMDB0015503,1
HMDB0000285,59
HMDB0015017,1
HMDB0003759,11
HMDB0001915,1
HMDB0001862,1
HMDB0001389,1
HMDB0003959,3
HMDB0011604,1
HMDB0001879,1
HMDB0000643,5
HMDB0014722,2
HMDB0000202,22
HMDB0012210,9
HMDB0014632,1
HMDB0014732,1
HMDB0003826,1
HMDB0004083,1
HMDB0015144,1
HMDB0006895,7
HMDB0014936,1
HMDB0006758,11
HMDB0001120,23
HMDB0014324,2
HMDB0000169,5
HMDB0011631,1
HMDB0000904,21
HMDB0001191,5
HMDB0001325,1
HMDB0000536,20
HMDB0001179,7
HMDB0015213,1
HMDB0002159,7
HMDB0014441,1
HMDB0005050,41
HMDB0004527,2
HMDB0001137,5
HMDB0014323,1
HMDB0015433,2
HMDB0002103,7
HMDB0000211,6
HMDB0000131,6
HMDB0060655,3
HMDB0001932,1
HMDB0006202,1
HMDB0015419,1
HMDB0015328,1
HMDB0015159,1
HMDB0001933,1
HMDB0014816,1
HMDB0000158,17
HMDB0015487,1
HMDB0004225,1
HMDB0000167,33
HMDB0000935,42
HMDB0014417,1
HMDB0015695,1
HMDB0002757,1
HMDB0000140,6
HMDB0011104,1
HMDB0001377,258
HMDB0000962,44
HMDB0001830,11
HMDB0060873,1
HMDB0014950,1
HMDB0001484,72
HMDB0006791,2
HMDB0000363,14
HMDB0001546,5
HMDB0006868,17
HMDB0008790,2
HMDB0000001,1
HMDB0000124,31
HMDB0014922,1
HMDB0060571,2
HMDB0014911,2
HMDB0006280,7
HMDB0001343,23
HMDB0006954,2
HMDB0003966,1
HMDB0010699,6
HMDB0000030,66
HMDB0006893,7
HMDB0000156,21
HMDB0000157,17
HMDB0014640,1
HMDB0015643,1
HMDB0001084,1
HMDB0001139,41
HMDB0006503,1
HMDB0015029,1
HMDB0060679,3
HMDB0003949,14
HMDB0056387,1
HMDB0000673,1
HMDB0000570,5
HMDB0000107,2
HMDB0001198,42
HMDB0006818,1
HMDB0000500,1
HMDB0001252,2
HMDB0006857,7
HMDB0010738,1
HMDB0002166,17
HMDB0006483,3
HMDB0000056,18
HMDB0000221,232
HMDB0000660,18
HMDB0015631,1
HMDB0000077,3
HMDB0000181,11
HMDB0001333,67
HMDB0060863,1
HMDB0059597,168
HMDB0000014,5
HMDB0001085,41
HMDB0001295,3
HMDB0000194,4
HMDB0001419,7
HMDB0000132,17
HMDB0001383,6
HMDB0003553,2
HMDB0000588,140
HMDB0014537,1
HMDB0002265,41
HMDB0000848,1
HMDB0015502,1
HMDB0001262,1
HMDB0014869,1
HMDB0002052,12
HMDB0007853,5
HMDB0001394,2
HMDB0001440,17
HMDB0014928,1
HMDB0002158,5
HMDB0001003,2
HMDB0000286,21
HMDB0001859,2
HMDB0060851,1
HMDB0041959,2
HMDB0015520,1
HMDB0014341,1
HMDB0015341,1
HMDB0003052,1
HMDB0014900,2
HMDB0002710,41
HMDB0001041,17
HMDB0001301,18
HMDB0014517,1
HMDB0002104,12
HMDB0001047,3
HMDB0014353,2
HMDB0001431,2
HMDB0001397,54
HMDB0000244,1
HMDB0000929,2
HMDB0060291,8
HMDB0060464,2
HMDB0000279,7
HMDB0003712,3
HMDB0001286,23
HMDB0015538,1
HMDB0002369,2
HMDB0000195,17
HMDB0014856,2
HMDB0012943,78
HMDB0010728,1
HMDB0060015,2
HMDB0001000,5
HMDB0005016,1
HMDB0004692,41
HMDB0004089,1
HMDB0006825,5
HMDB0006498,1
HMDB0000037,63
HMDB0002177,1
HMDB0001018,3
HMDB0015418,1
HMDB0059664,1
HMDB0000227,23
HMDB0000277,6
HMDB0011503,1
HMDB0003540,13
HMDB0060513,2
HMDB0048523,2
HMDB0001132,1
HMDB0011629,17
HMDB0000220,24
HMDB0015157,25
HMDB0015414,1
HMDB0003362,12
HMDB0001659,2
HMDB0001553,8
HMDB0001514,6
HMDB0001272,2
HMDB0014662,1
HMDB0010382,1
HMDB0002123,1
HMDB0015509,1
HMDB0000125,63
HMDB0000108,2
HMDB0015057,1
HMDB0015490,1
HMDB0000053,3
HMDB0000511,2
HMDB0000881,1
HMDB0015137,1
HMDB0000763,1
HMDB0010725,1
HMDB0011136,41
HMDB0014344,1
HMDB0000978,1
HMDB0000820,2
HMDB0009783,2
HMDB0001257,9
HMDB0032436,1
HMDB0012459,7
HMDB0003406,39
HMDB0014822,1
HMDB0014587,2
HMDB0001337,41
HMDB0000472,1
HMDB0000150,4
HMDB0014420,1
HMDB0004699,41
HMDB0014682,2
HMDB0002666,1
HMDB0001187,2
HMDB0014945,1
HMDB0000757,7
HMDB0005007,1
HMDB0003955,3
HMDB0001200,1
HMDB0006271,23
HMDB0003349,5
HMDB0004086,1
HMDB0004236,41
HMDB0015434,1
HMDB0001358,2
HMDB0061156,1
HMDB0060681,3
HMDB0001374,7
HMDB0001254,12
HMDB0001032,3
HMDB0001359,3
HMDB0003904,1
HMDB0004264,41
HMDB0060651,1
HMDB0001076,3
HMDB0014638,1
HMDB0015110,1
HMDB0012188,1
HMDB0014037,1
HMDB0002086,22
HMDB0000996,4
HMDB0001022,52
HMDB0014427,1
HMDB0000972,29
HMDB0006792,2
HMDB0001940,1
HMDB0003896,23
HMDB0003971,7
HMDB0000151,3
HMDB0001342,5
HMDB0060599,1
