metabolites,numOfPathway
HMDB0000464,257
HMDB0041822,4
HMDB0000060,33
HMDB0000020,8
HMDB0000951,7
HMDB0003391,12
HMDB0014644,2
HMDB0001545,19
HMDB0014959,1
HMDB0012948,1
HMDB0060588,2
HMDB0014615,2
HMDB0013913,1
HMDB0001509,41
HMDB0000700,4
HMDB0006763,11
HMDB0006880,6
HMDB0001106,4
HMDB0000638,5
HMDB0003134,3
HMDB0000163,7
HMDB0000684,1
HMDB0060102,43
HMDB0015324,1
HMDB0015642,1
