"","gene.list"
"5204","FCF1"
"5205","YLPM1"
"5206","DLST"
"5207","EIF2B2"
"5208","FAM164C"
"5209","FOS"
"5210","JDP2"
"5211","BATF"
"5212","FLVCR2"
"5213","TTLL5"
"5214","C14orf179"
"5215","C14orf118"
"5216","ESRRB"
"5217","VASH1"
"5218","C14orf166B"
"5219","KIAA1737"
"5220","TMEM63C"
"5221","GSTZ1"
"5222","SAMD15"
"5223","AHSA1"
"5224","C14orf156"
"5225","C14orf178"
"5226","ADCK1"
"5227","NRXN3"
"5228","TSHR"
"5229","FLRT2"
"5230","GPR65"
"5231","SPATA7"
"5232","ZC3H14"
"5233","TTC8"
"5234","TDP1"
"5235","KCNK13"
"5236","PSMC1"
"5237","CALM1"
"5238","C14orf159"
"5239","TRIP11"
"5240","CPSF2"
"5241","SLC24A4"
"5242","RIN3"
"5243","GOLGA5"
"5244","CHGA"
"5245","C14orf109"
"5246","UBR7"
"5247","KIAA1409"
"5248","FAM181A"
"5249","C14orf48"
"5250","OTUB2"
"5251","IFI27L1"
"5252","IFI27"
"5253","PPP4R4"
"5254","SERPINA4"
"5255","SERPINA5"
"5256","SERPINA3"
"5257","SERPINA13"
"5258","FLJ45244"
"5259","GLRX5"
"5260","TCL1B"
"5261","C14orf132"
"5262","BDKRB2"
"5263","BDKRB1"
"5264","C14orf129"
"5265","PAPOLA"
"5266","VRK1"
"5267","C14orf177"
"5268","CCNK"
"5269","HHIPL1"
"5270","CYP46A1"
"5271","EML1"
"5272","EVL"
"5273","YY1"
"5274","SLC25A47"
"5275","WDR25"
"5276","C14orf70"
"5277","DLK1"
"5278","MEG3"
"5279","MIR127"
"5280","SNORD113-3"
"5281","SNORD113-4"
"5282","SNORD114-2"
"5283","SNORD114-3"
"5284","SNORD114-26"
"5285","FLJ41170"
"5286","MIR134"
"5287","DIO3"
"5288","PPP2R5C"
"5289","DYNC1H1"
"5290","WDR20"
"5291","ZNF839"
"5292","TECPR2"
"5293","RCOR1"
"5294","TRAF3"
"5295","AMN"
"5296","TNFAIP2"
"5297","EIF5"
"5298","SNORA28"
"5299","MARK3"
"5300","TRMT61A"
"5301","C14orf153"
"5302","KLC1"
"5303","ZFYVE21"
"5304","ASPG"
"5305","KIF26A"
"5306","C14orf180"
"5307","INF2"
"5308","LOC388022"
"5309","ADSSL1"
"5310","SIVA1"
"5311","ZBTB42"
"5312","MGC23270"
"5313","KIAA0284"
"5314","PLD4"
"5315","C14orf79"
"5316","BTBD6"
"5317","PACS2"
"5318","MTA1"
"5319","CRIP2"
"5320","CRIP1"
"5321","C14orf80"
"5322","TMEM121"
"5323","KIAA0125"
"5324","POTEG"
"5325","OR4K14"
"5326","TTC5"
"5327","CCNB1IP1"
"5328","RPPH1"
"5329","TEP1"
"5330","KLHL33"
"5331","OSGEP"
"5332","TMEM55B"
"5333","RNASE1"
"5334","NDRG2"
"5335","RNASE13"
"5336","ZNF219"
"5337","OR5AU1"
"5338","HNRNPC"
"5339","SUPT16H"
"5340","CHD8"
"5341","SNORD8"
"5342","RAB2B"
"5343","METTL3"
"5344","SALL2"
"5345","OR10G2"
"5346","DAD1"
"5347","SLC7A7"
"5348","RBM23"
"5349","PRMT5"
"5350","HAUS4"
"5351","JUB"
"5352","C14orf93"
"5353","PSMB5"
"5354","CDH24"
"5355","CEBPE"
"5356","SLC7A8"
"5357","PPP1R3E"
"5358","SLC22A17"
"5359","EFS"
"5360","MYH6"
"5361","MYH7"
"5362","ZFHX2"
"5363","AP1G2"
"5364","JPH4"
"5365","C14orf165"
"5366","NRL"
"5367","FAM158A"
"5368","PSME2"
"5369","IPO4"
"5370","TM9SF1"
"5371","CHMP4A"
"5372","MDP1"
"5373","NEDD8"
"5374","TINF2"
"5375","TGM1"
"5376","RABGGTA"
"5377","DHRS1"
"5378","CIDEB"
"5379","ADCY4"
"5380","RIPK3"
"5381","CBLN3"
"5382","SDR39U1"
"5383","CMA1"
"5384","CTSG"
"5385","GZMH"
"5386","GZMB"
"5387","STXBP6"
"5388","NOVA1"
"5389","PRKD1"
"5390","STRN3"
"5391","HECTD1"
"5392","HEATR5A"
"5393","C14orf126"
"5394","C14orf128"
"5395","KIAA1143"
"5396","EGLN3"
"5397","C14orf147"
"5398","EAPP"
"5399","SNX6"
"5400","CFL2"
"5401","BAZ1A"
"5402","PPP2R3C"
"5403","NFKBIA"
"5404","RALGAPA1"
"5405","MBIP"
"5406","NKX2-8"
"5407","FOXA1"
"5408","CLEC14A"
"5409","SEC23A"
"5410","TRAPPC6B"
"5411","FBXO33"
"5412","KLHL28"
"5413","FKBP3"
"5414","C14orf106"
"5415","RPL10L"
"5416","RPS29"
"5417","RPL36AL"
"5418","C14orf104"
"5419","POLE2"
"5420","C14orf182"
"5421","C14orf183"
"5422","C14orf138"
"5423","SOS2"
"5424","L2HGDH"
"5425","CDKL1"
"5426","MAP4K5"
"5427","SAV1"
"5428","NIN"
"5429","PYGL"
"5430","TRIM9"
"5431","NID2"
"5432","TXNDC16"
"5433","ERO1L"
"5434","GNPNAT1"
"5435","FERMT2"
"5436","DDHD1"
"5437","BMP4"
"5438","CNIH"
"5439","GMFB"
"5440","GCH1"
"5441","WDHD1"
"5442","DLGAP5"
"5443","ATG14"
"5444","C14orf33"
"5445","OTX2"
"5446","SLC35F4"
"5447","C14orf37"
"5448","TIMM9"
"5449","GPR135"
"5450","C14orf149"
"5451","RTN1"
"5452","DHRS7"
"5453","SIX1"
"5454","SIX4"
"5455","TRMT5"
"5456","TMEM30B"
"5457","GPHB5"
"5458","PPP2R5E"
"5459","WDR89"
"5460","SGPP1"
"5461","ESR2"
"5462","ZBTB25"
"5463","SPTB"
"5464","GPX2"
"5465","RAB15"
"5466","MAX"
"5467","ATP6V1D"
"5468","PLEK2"
"5469","TMEM229B"
"5470","VTI1B"
"5471","RDH11"
"5472","ZFYVE26"
"5473","ZFP36L1"
"5474","C14orf181"
"5475","ACTN1"
"5476","DCAF5"
"5477","ERH"
"5478","C14orf162"
"5479","SLC10A1"
"5480","COX16"
"5481","SYNJ2BP"
"5482","ADAM20"
"5483","MED6"
"5484","MAP3K9"
"5485","DPF3"
"5486","ZFYVE1"
"5487","NUMB"
"5488","HEATR4"
"5489","PNMA1"
"5490","ENTPD5"
"5491","ALDH6A1"
"5492","ABCD4"
"5493","TMEM90A"
"5494","NPC2"
"5495","LTBP2"
"5496","KIAA0317"
"5497","RPS6KL1"
"5498","PGF"
"5499","MLH3"
"5500","ACYP1"
"5501","NEK9"
"5502","TMED10"
"5503","C14orf1"
"5504","TGFB3"
"5505","ANGEL1"
"5506","C14orf4"
"5507","ZDHHC22"
"5508","NGB"
"5509","POMT2"
"5510","TMED8"
"5511","C14orf148"
"5512","VIPAR"
"5513","ISM2"
"5514","SPTLC2"
"5515","ALKBH1"
"5516","SNW1"
"5517","DIO2"
"5518","C14orf145"
"5519","GTF2A1"
"5520","STON2"
"5521","SEL1L"
"5522","GALC"
"5523","KCNK10"
"5524","PTPN21"
"5525","EML5"
"5526","FOXN3"
"5527","C14orf143"
"5528","C14orf102"
"5529","TTC7B"
"5530","LOC283588"
"5531","RPS6KA5"
"5532","GPR68"
"5533","CCDC88C"
"5534","SMEK1"
"5535","C14orf184"
"5536","CATSPERB"
"5537","TC2N"
"5538","FBLN5"
"5539","ATXN3"
"5540","NDUFB1"
"5541","LGMN"
"5542","ITPK1"
"5543","MOAP1"
"5544","C14orf142"
"5545","BTBD7"
"5546","PRIMA1"
"5547","ASB2"
"5548","DDX24"
"5549","IFI27L2"
"5550","SERPINA10"
"5551","SERPINA6"
"5552","SERPINA1"
"5553","SERPINA11"
"5554","SERPINA9"
"5555","SERPINA12"
"5556","GSC"
"5557","DICER1"
"5558","CLMN"
"5559","C14orf139"
"5560","C14orf49"
"5561","SCARNA13"
"5562","TCL1A"
"5563","ATG2B"
"5564","BCL11B"
"5565","SETD3"
"5566","CCDC85C"
"5567","DEGS2"
"5568","SLC25A29"
"5569","WARS"
"5570","BEGAIN"
"5571","RTL1"
"5572","MIR1247"
"5573","HSP90AA1"
"5574","RAGE"
"5575","CINP"
"5576","ANKRD9"
"5577","CDC42BPB"
"5578","CKB"
"5579","BAG5"
"5580","XRCC3"
"5581","PPP1R13B"
"5582","C14orf2"
"5583","LOC100288144"
"5584","TMEM179"
"5585","AKT1"
"5586","AHNAK2"
"5587","CDCA4"
"5588","GPR132"
"5589","JAG2"
"5590","NUDT14"
"5591","BRF1"
"5592","IGHA2"
"5593","IGHE"
"5594","IGHM"
"5595","IGHV3-48"
"5596","IGHA1"
"5597","IGHD"
"5598","IGLJ3"
"5599","IGHV4-59"
"5600","IGHV5-78"
"5601","IGHV7-81"
"5602","LOC400968"
"5603","GOLGA8C"
"5604","OR4M2"
"5605","GOLGA6L1"
"5606","TUBGCP5"
"5607","CYFIP1"
"5608","GOLGA8IP"
"5609","GOLGA8E"
"5610","GOLGA8DP"
"5611","MKRN3"
"5612","C15orf2"
"5613","SNRPN"
"5614","PAR5"
"5615","SNORD109A"
"5616","SNORD116-1"
"5617","SNORD116-2"
"5618","SNORD116-3"
"5619","SNORD116-4"
"5620","SNORD116-5"
"5621","SNORD116-6"
"5622","SNORD116-8"
"5623","SNORD116-11"
"5624","SNORD116-14"
"5625","SNORD116-15"
"5626","SNORD116-17"
"5627","SNORD116-20"
"5628","SNORD116-21"
"5629","SNORD116-23"
"5630","SNORD116-24"
"5631","SNORD116-25"
"5632","SNORD116-26"
"5633","SNORD116-27"
"5634","SNORD116-29"
"5635","GABRA5"
"5636","GABRG3"
"5637","GOLGA8G"
"5638","HERC2P2"
"5639","DEXI"
"5640","APBA2"
"5641","DKFZP434L187"
"5642","LOC653075"
"5643","ARHGAP11B"
"5644","OTUD7A"
"5645","FAN1"
"5646","KLF13"
"5647","LOC100499221"
"5648","LOC100130857"
"5649","CHRNA7"
"5650","ARHGAP11A"
"5651","SCG5"
"5652","GREM1"
"5653","RYR3"
"5654","CHRM5"
"5655","PGBD4"
"5656","TMEM85"
"5657","C15orf55"
"5658","ZNF770"
"5659","LOC100509022"
"5660","ANP32A"
"5661","C15orf41"
"5662","SPRED1"
"5663","FAM98B"
"5664","C15orf53"
"5665","THBS1"
"5666","EIF2AK4"
"5667","BUB1B"
"5668","PAK6"
"5669","DISP2"
"5670","C15orf23"
"5671","IVD"
"5672","BAHD1"
"5673","CHST14"
"5674","RPUSD2"
"5675","CASC5"
"5676","RAD51"
"5677","GCHFR"
"5678","C15orf62"
"5679","ZFYVE19"
"5680","SPINT1"
"5681","VPS18"
"5682","DLL4"
"5683","CHAC1"
"5684","FAM92A2"
"5685","CHP"
"5686","NUSAP1"
"5687","RTF1"
"5688","ITPKA"
"5689","TYRO3"
"5690","MGA"
"5691","MAPKBP1"
"5692","JMJD7-PLA2G4B"
"5693","SPTBN5"
"5694","CAPN3"
"5695","SNAP23"
"5696","HAUS2"
"5697","STARD9"
"5698","TMEM62"
"5699","CCNDBP1"
"5700","ADAL"
"5701","TUBGCP4"
"5702","MAP1A"
"5703","CKMT1A"
"5704","PDIA3"
"5705","SERF2"
"5706","C15orf63"
"5707","WDR76"
"5708","CASC4"
"5709","CTDSPL2"
"5710","EIF3J"
"5711","B2M"
"5712","TRIM69"
"5713","SORD"
"5714","DUOXA2"
"5715","DUOX1"
"5716","SLC28A2"
"5717","SPATA5L1"
"5718","C15orf48"
"5719","C15orf21"
"5720","PLDN"
"5721","SQRDL"
"5722","SEMA6D"
"5723","DUT"
"5724","EID1"
"5725","GALK2"
"5726","FGF7"
"5727","DTWD1"
"5728","SLC27A2"
"5729","USP8"
"5730","AP4E1"
"5731","GLDN"
"5732","TMOD2"
"5733","TMOD3"
"5734","MAPK6"
"5735","PIGB"
"5736","TEX9"
"5737","TCF12"
"5738","CGNL1"
"5739","GCOM1"
"5740","AQP9"
"5741","LOC100289060"
"5742","FAM63B"
"5743","RNF111"
"5744","CCNB2"
"5745","LDHAL6B"
"5746","FAM81A"
"5747","GCNT3"
"5748","FOXB1"
"5749","C2CD4A"
"5750","TLN2"
"5751","TPM1"
"5752","LACTB"
"5753","RAB8B"
"5754","APH1B"
"5755","USP3"
"5756","FBXL22"
"5757","SNX1"
"5758","SNX22"
"5759","TRIP4"
"5760","ZNF609"
"5761","PLEKHO2"
"5762","ANKDD1A"
"5763","OSTBETA"
"5764","KBTBD13"
"5765","RNU5A"
"5766","RNU5B-1"
"5767","PTPLAD1"
"5768","SLC24A1"
"5769","RAB11A"
"5770","DIS3L"
"5771","MAP2K1"
"5772","ZWILCH"
"5773","SMAD6"
"5774","SMAD3"
"5775","IQCH"
"5776","C15orf61"
"5777","MAP2K5"
"5778","SKOR1"
"5779","PIAS1"
"5780","FEM1B"
"5781","CORO2B"
"5782","SPESP1"
"5783","NCRNA00277"
"5784","GLCE"
"5785","PAQR5"
"5786","KIF23"
"5787","RPLP1"
"5788","LRRC49"
"5789","THSD4"
"5790","NR2E3"
"5791","SENP8"
"5792","ARIH1"
"5793","GOLGA6B"
"5794","BBS4"
"5795","NEO1"
"5796","CD276"
"5797","TBC1D21"
"5798","LOXL1"
"5799","PML"
"5800","ISLR2"
"5801","ISLR"
"5802","CCDC33"
"5803","CLK3"
"5804","CYP1A2"
"5805","CSK"
"5806","LMAN1L"
"5807","CPLX3"
"5808","MPI"
"5809","SCAMP5"
"5810","PPCDC"
"5811","C15orf39"
"5812","GOLGA6A"
"5813","COMMD4"
"5814","NEIL1"
"5815","SNX33"
"5816","ODF3L1"
"5817","DNM1P35"
"5818","UBE2Q2"
"5819","FBXO22"
"5820","C15orf27"
"5821","ISL2"
"5822","RCN2"
"5823","PSTPIP1"
"5824","LOC646853"
"5825","HMG20A"
"5826","IDH3A"
"5827","DNAJA4"
"5828","CRABP1"
"5829","IREB2"
"5830","AGPHD1"
"5831","PSMA4"
"5832","CHRNA5"
"5833","TBC1D2B"
"5834","MORF4L1"
"5835","RASGRF1"
"5836","ANKRD34C"
"5837","TMED3"
"5838","KIAA1024"
"5839","C15orf37"
"5840","ZFAND6"
"5841","FAH"
"5842","ARNT2"
"5843","FAM108C1"
"5844","KIAA1199"
"5845","MESDC1"
"5846","C15orf26"
"5847","IL16"
"5848","FAM154B"
"5849","UBE2Q2P3"
"5850","GOLGA6L9"
"5851","LOC440297"
"5852","DNM1P41"
"5853","LOC80154"
"5854","GOLGA6L5"
"5855","WHAMM"
"5856","FAM103A1"
"5857","TM6SF1"
"5858","SH3GL3"
"5859","ADAMTSL3"
"5860","EFTUD1"
"5861","ZSCAN2"
"5862","SCAND2"
"5863","ZNF592"
"5864","ALPK3"
"5865","SLC28A1"
"5866","PDE8A"
"5867","AKAP13"
"5868","MRPS11"
"5869","MIR7-2"
"5870","AEN"
"5871","ISG20"
"5872","ACAN"
"5873","ABHD2"
"5874","FANCI"
"5875","C15orf42"
"5876","WDR93"
"5877","MESP2"
"5878","ZNF710"
"5879","SEMA4B"
"5880","C15orf58"
"5881","TTLL13"
"5882","NGRN"
"5883","ZNF774"
"5884","IQGAP1"
"5885","CRTC3"
"5886","BLM"
"5887","FURIN"
"5888","FES"
"5889","MAN2A2"
"5890","UNC45A"
"5891","RCCD1"
"5892","SV2B"
"5893","SLCO3A1"
"5894","ST8SIA2"
"5895","C15orf32"
"5896","LOC643797"
"5897","CHD2"
"5898","UNQ9370"
"5899","MCTP2"
"5900","GLTSCR2"
"5901","NR2F2"
"5902","ARRDC4"
"5903","IGF1R"
"5904","SYNM"
"5905","LRRC28"
"5906","MEF2A"
"5907","C15orf51"
"5908","LOC400464"
"5909","ASB7"
"5910","LOC145757"
"5911","ALDH1A3"
"5912","LRRK1"
"5913","OR4F6"
"5914","WASH3P"
"5915","VSIG7"
"5916","HERC2P3"
"5917","POTEB"
"5918","NIPA2"
"5919","NIPA1"
"5920","WHAMML1"
"5921","GOLGA6L2"
"5922","MAGEL2"
"5923","NDN"
"5924","UBE3A"
"5925","ATP10A"
"5926","GABRB3"
"5927","OCA2"
"5928","HERC2"
"5929","FAM189A1"
"5930","NDNL2"
"5931","TJP1"
"5932","CHRFAM7A"
"5933","GOLGA8H"
"5934","MTMR10"
"5935","TRPM1"
"5936","MIR211"
"5937","FMN1"
"5938","AVEN"
"5939","C15orf24"
"5940","C15orf29"
"5941","SLC12A6"
"5942","NOP10"
"5943","LPCAT4"
"5944","GOLGA8B"
"5945","GJD2"
"5946","ACTC1"
"5947","AQR"
"5948","ATPBD4"
"5949","CSNK1A1P1"
"5950","MEIS2"
"5951","RASGRP1"
"5952","GPR176"
"5953","SRP14"
"5954","BMF"
"5955","C15orf56"
"5956","PLCB2"
"5957","C15orf52"
"5958","C15orf57"
"5959","FAM82A2"
"5960","DNAJC17"
"5961","PPP1R14D"
"5962","RHOV"
"5963","INO80"
"5964","OIP5"
"5965","NDUFAF1"
"5966","LTK"
"5967","RPAP1"
"5968","EHD4"
"5969","PLA2G4E"
"5970","PLA2G4D"
"5971","PLA2G4F"
"5972","VPS39"
"5973","TMEM87A"
"5974","ZFP106"
"5975","LRRC57"
"5976","CDAN1"
"5977","TTBK2"
"5978","UBR1"
"5979","RPS3A"
"5980","EPB42"
"5981","TGM5"
"5982","TGM7"
"5983","LCMT2"
"5984","ZSCAN29"
"5985","TP53BP1"
"5986","PPIP5K1"
"5987","STRC"
"5988","CATSPER2"
"5989","CATSPER2P1"
"5990","ELL3"
"5991","MFAP1"
"5992","FRMD5"
"5993","LOC645212"
"5994","SPG11"
"5995","PATL2"
"5996","DUOX2"
"5997","DUOXA1"
"5998","SHF"
"5999","GATM"
"6000","SLC30A4"
"6001","MYEF2"
"6002","FBN1"
"6003","CEP152"
"6004","SHC4"
"6005","SECISBP2L"
"6006","COPS2"
"6007","ATP8B4"
"6008","HDC"
"6009","GABPB1"
"6010","TRPM7"
"6011","SPPL2A"
"6012","TNFAIP8L3"
"6013","CYP19A1"
"6014","DMXL2"
"6015","LYSMD2"
"6016","LEO1"
"6017","BCL2L10"
"6018","GNB5"
"6019","MYO5C"
"6020","MYO5A"
"6021","ARPP19"
"6022","KIAA1370"
"6023","ONECUT1"
"6024","RSL24D1"
"6025","RAB27A"
"6026","CCPG1"
"6027","DYX1C1"
"6028","PYGO1"
"6029","PRTG"
"6030","NEDD4"
"6031","CNOT6L"
"6032","RFX7"
"6033","MNS1"
"6034","ZNF280D"
"6035","ALDH1A2"
"6036","ADAM10"
"6037","HSP90AB4P"
"6038","SLTM"
"6039","MYO1E"
"6040","GTF2A2"
"6041","BNIP2"
"6042","ANXA2"
"6043","NARG2"
"6044","RORA"
"6045","VPS13C"
"6046","C2CD4B"
"6047","FLJ38723"
"6048","RPS27L"
"6049","CA12"
"6050","HERC1"
"6051","DAPK2"
"6052","FAM96A"
"6053","PPIB"
"6054","CSNK1G1"
"6055","KIAA0101"
"6056","OAZ2"
"6057","RBPMS2"
"6058","PIF1"
"6059","SPG21"
"6060","MTFMT"
"6061","RASL12"
"6062","PDCD7"
"6063","CLPX"
"6064","CILP"
"6065","PARP16"
"6066","IGDCC3"
"6067","IGDCC4"
"6068","DPP8"
"6069","C15orf44"
"6070","DENND4A"
"6071","DNAJB14"
"6072","MEGF11"
"6073","TIPIN"
"6074","SNAPC5"
"6075","RPL4"
"6076","LCTL"
"6077","LOC100131796"
"6078","AAGAB"
"6079","CALML4"
"6080","CLN6"
"6081","ITGA11"
"6082","C15orf28"
"6083","TLE3"
"6084","UACA"
"6085","LARP6"
"6086","THAP10"
"6087","MYO9A"
"6088","GRAMD2"
"6089","PKM2"
"6090","PARP6"
"6091","CELF6"
"6092","HEXA"
"6093","HIGD2B"
"6094","ADPGK"
"6095","HCN4"
"6096","NPTN"
"6097","C15orf59"
"6098","STOML1"
"6099","STRA6"
"6100","CYP11A1"
"6101","SEMA7A"
"6102","UBL7"
"6103","EDC3"
"6104","CYP1A1"
"6105","ULK3"
"6106","SCAMP2"
"6107","C15orf17"
"6108","COX5A"
"6109","RPP25"
"6110","MAN2C1"
"6111","SIN3A"
"6112","PTPN9"
"6113","SNUPN"
"6114","IMP3"
"6115","CSPG4"
"6116","ETFA"
"6117","SCAPER"
"6118","TSPAN3"
"6119","SGK269"
"6120","C15orf5"
"6121","LINGO1"
"6122","CIB2"
"6123","ACSBG1"
"6124","WDR61"
"6125","CHRNA3"
"6126","CHRNB4"
"6127","ADAMTS7"
"6128","CTSH"
"6129","MTHFS"
"6130","ST20"
"6131","BCL2A1"
"6132","LOC100133746"
"6133","MESDC2"
"6134","STARD5"
"6135","TMC3"
"6136","MEX3B"
"6137","GOLGA6L10"
"6138","RPL9"
"6139","RPS17"
"6140","CPEB1"
"6141","AP3B2"
"6142","LOC283693"
"6143","HOMER2"
"6144","LOC100131860"
"6145","C15orf40"
"6146","BTBD1"
"6147","HDGFRP3"
"6148","BNC1"
"6149","LOC388152"
"6150","CSPG4P5"
"6151","UBE2Q2P1"
"6152","WDR73"
"6153","NMB"
"6154","SEC11A"
"6155","KLHL25"
"6156","NTRK3"
"6157","MRPL46"
"6158","DET1"
"6159","HAPLN3"
"6160","MFGE8"
"6161","RLBP1"
"6162","POLG"
"6163","RHCG"
"6164","KIF7"
"6165","PLIN1"
"6166","PEX11A"
"6167","MESP1"
"6168","ANPEP"
"6169","AP3S2"
"6170","C15orf38"
"6171","IDH2"
"6172","CIB1"
"6173","GABARAPL3"
"6174","HDDC3"
"6175","PRC1"
"6176","VPS33B"
"6177","FAM174B"
"6178","RGMA"
"6179","FAM169B"
"6180","PGPEP1L"
"6181","TTC23"
"6182","LYSMD4"
"6183","ADAMTS17"
"6184","FLJ42289"
"6185","LASS3"
"6186","LINS"
"6187","LOC440313"
"6188","CHSY1"
"6189","SELS"
"6190","SNRPA1"
"6191","PCSK6"
"6192","TM2D3"
"6193","TARSL2"
"6194","GOLGA8F"
"6195","NCRNA00286A"
"6196","SNRNP25"
"6197","MPG"
"6198","HBZ"
"6199","HBM"
"6200","HBA2"
"6201","HBA1"
"6202","HBQ1"
"6203","C4orf46"
"6204","ITFG3"
"6205","ARHGDIG"
"6206","PDIA2"
"6207","NME4"
"6208","DECR2"
"6209","RAB11FIP3"
"6210","SOLH"
"6211","C16orf11"
"6212","NHLRC4"
"6213","PIGQ"
"6214","RAB40C"
"6215","WFIKKN1"
"6216","FAM195A"
"6217","WDR90"
"6218","RHOT2"
"6219","RHBDL1"
"6220","STUB1"
"6221","FBXL16"
"6222","METRN"
"6223","FAM173A"
"6224","HAGHL"
"6225","MSLN"
"6226","CHTF18"
"6227","PRR25"
"6228","SOX8"
"6229","SSTR5"
"6230","CACNA1H"
"6231","TPSAB1"
"6232","TPSD1"
"6233","UBE2I"
"6234","BAIAP3"
"6235","GNPTG"
"6236","TELO2"
"6237","TMEM204"
"6238","CRAMP1L"
"6239","HN1L"
"6240","MAPK8IP3"
"6241","EME2"
"6242","NUBP2"
"6243","FAHD1"
"6244","NDUFB10"
"6245","RNF151"
"6246","TBL3"
"6247","GFER"
"6248","SYNGR3"
"6249","NPW"
"6250","SLC9A3R2"
"6251","TSC2"
"6252","RAB26"
"6253","TRAF7"
"6254","MLST8"
"6255","E4F1"
"6256","DNASE1L2"
"6257","CCNF"
"6258","C16orf59"
"6259","NTN3"
"6260","TBC1D24"
"6261","ATP6V0C"
"6262","AMDHD2"
"6263","PDPK1"
"6264","LOC652276"
"6265","KCTD5"
"6266","SRRM2"
"6267","PRSS41"
"6268","PRSS21"
"6269","ZG16B"
"6270","FLYWCH2"
"6271","FLYWCH1"
"6272","KREMEN2"
"6273","PAQR4"
"6274","CLDN9"
"6275","TNFRSF12A"
"6276","THOC6"
"6277","MMP25"
"6278","IL32"
"6279","ZNF205"
"6280","ZNF213"
"6281","OR1F1"
"6282","OR1F2P"
"6283","FLJ39639"
"6284","ZNF263"
"6285","ZNF75A"
"6286","OR2C1"
"6287","ZNF434"
"6288","ZNF174"
"6289","NAT15"
"6290","CLUAP1"
"6291","DNASE1"
"6292","GLIS2"
"6293","VASN"
"6294","DNAJA3"
"6295","HMOX2"
"6296","MGRN1"
"6297","NUDT16L1"
"6298","C16orf71"
"6299","UBN1"
"6300","SEC14L5"
"6301","ALG1"
"6302","LOC440337"
"6303","C16orf68"
"6304","ABAT"
"6305","PMM2"
"6306","C16orf72"
"6307","ATF7IP2"
"6308","NUBP1"
"6309","CIITA"
"6310","CLEC16A"
"6311","C16orf75"
"6312","SNN"
"6313","TXNDC11"
"6314","TNFRSF17"
"6315","RUNDC2A"
"6316","SNX29"
"6317","SHISA9"
"6318","ERCC4"
"6319","MKL2"
"6320","MIR365-1"
"6321","BFAR"
"6322","NPIP"
"6323","NOMO3"
"6324","PKD1P1"
"6325","PDXDC1"
"6326","MPV17L"
"6327","C16orf45"
"6328","NDE1"
"6329","ABCC1"
"6330","TMC7"
"6331","COQ7"
"6332","ITPRIPL2"
"6333","SYT17"
"6334","TMC5"
"6335","CP110"
"6336","C16orf62"
"6337","IQCK"
"6338","ACSM5"
"6339","ACSM2A"
"6340","ACSM3"
"6341","LOC81691"
"6342","LYRM1"
"6343","TMEM159"
"6344","ANKS4B"
"6345","NCRNA00169"
"6346","RUNDC2C"
"6347","METTL9"
"6348","OTOA"
"6349","UQCRC2"
"6350","C16orf52"
"6351","VWA3A"
"6352","EEF2K"
"6353","POLR3E"
"6354","SMG1"
"6355","NPIPL3"
"6356","HS3ST2"
"6357","SCNN1G"
"6358","SCNN1B"
"6359","UBFD1"
"6360","DCTN5"
"6361","PLK1"
"6362","CHP2"
"6363","PRKCB"
"6364","CACNG3"
"6365","RBBP6"
"6366","TNRC6A"
"6367","SLC5A11"
"6368","LOC554206"
"6369","LCMT1"
"6370","AQP8"
"6371","HS3ST4"
"6372","C16orf82"
"6373","JMJD5"
"6374","IL4R"
"6375","IL21R"
"6376","KIAA0556"
"6377","SBK1"
"6378","APOB48R"
"6379","CCDC101"
"6380","LOC100132247"
"6381","ATXN2L"
"6382","EIF3C"
"6383","SH2B1"
"6384","ATP2A1"
"6385","CD19"
"6386","NFATC2IP"
"6387","SPNS1"
"6388","LAT"
"6389","PDXDC2P"
"6390","RRN3"
"6391","SULT1A3"
"6392","SPN"
"6393","QPRT"
"6394","ZG16"
"6395","KIF22"
"6396","MAZ"
"6397","PRRT2"
"6398","C16orf53"
"6399","MVP"
"6400","ASPHD1"
"6401","TMEM219"
"6402","TAOK2"
"6403","INO80E"
"6404","FAM57B"
"6405","ALDOA"
"6406","PPP4C"
"6407","CORO1A"
"6408","MYLPF"
"6409","ZNF48"
"6410","ZNF771"
"6411","ITGAL"
"6412","PRR14"
"6413","FBRS"
"6414","SRCAP"
"6415","SNORA30"
"6416","PHKG2"
"6417","RNF40"
"6418","CTF1"
"6419","FBXL19"
"6420","ORAI3"
"6421","SETD1A"
"6422","HSD3B7"
"6423","STX4"
"6424","ZNF668"
"6425","ZNF646"
"6426","BCKDK"
"6427","MYST1"
"6428","FUS"
"6429","TRIM72"
"6430","ITGAM"
"6431","ITGAX"
"6432","ITGAD"
"6433","ARMC5"
"6434","TGFB1I1"
"6435","SLC5A2"
"6436","KIAA0664L3"
"6437","ZNF720"
"6438","ZNF267"
"6439","TP53TG3"
"6440","SLC6A8"
"6441","MGC34800"
"6442","ORC6"
"6443","GPT2"
"6444","DNAJA2"
"6445","PHKB"
"6446","LONP2"
"6447","FLJ44674"
"6448","TMEM188"
"6449","HEATR3"
"6450","PAPD5"
"6451","ADCY7"
"6452","NKD1"
"6453","NOD2"
"6454","CYLD"
"6455","CHD9"
"6456","RBL2"
"6457","FTO"
"6458","IRX5"
"6459","IRX6"
"6460","MMP2"
"6461","LPCAT2"
"6462","CAPNS2"
"6463","SLC6A2"
"6464","CES1P1"
"6465","GNAO1"
"6466","OGFOD1"
"6467","MT4"
"6468","MT3"
