"","gene.list"
"316","B4GALT2"
"317","CCDC24"
"318","KLF17"
"319","DMAP1"
"320","RNF220"
"321","C1orf228"
"322","KIF2C"
"323","RPS8"
"324","SNORD55"
"325","SNORD46"
"326","SNORD38A"
"327","SNORD38B"
"328","PLK3"
"329","UROD"
"330","HPDL"
"331","TOE1"
"332","MMACHC"
"333","AKR1A1"
"334","NASP"
"335","TMEM69"
"336","MAST2"
"337","TSPAN1"
"338","C1orf190"
"339","RAD54L"
"340","UQCRH"
"341","NSUN4"
"342","FAAH"
"343","DMBX1"
"344","CYP4B1"
"345","CYP4X1"
"346","CYP4Z1"
"347","CYP4A22"
"348","CMPK1"
"349","FOXE3"
"350","FOXD2"
"351","SLC5A9"
"352","STRADB"
"353","CDKN2C"
"354","RNF11"
"355","OSBPL9"
"356","BTF3L4"
"357","ZFYVE9"
"358","PRPF38A"
"359","GPX7"
"360","FAM159A"
"361","ZYG11B"
"362","ZYG11A"
"363","SCP2"
"364","PODN"
"365","CPT2"
"366","DMRTB1"
"367","DIO1"
"368","LRRC42"
"369","C1orf83"
"370","MRPL37"
"371","C1orf191"
"372","ACOT11"
"373","C1orf175"
"374","TTC4"
"375","C1orf177"
"376","TMEM61"
"377","BSND"
"378","PCSK9"
"379","PRKAA2"
"380","FGGY"
"381","HOOK1"
"382","NFIA"
"383","MGC34796"
"384","INADL"
"385","USP1"
"386","ATG4C"
"387","FOXD3"
"388","ALG6"
"389","EFCAB7"
"390","PGM1"
"391","ROR1"
"392","CACHD1"
"393","RAVER2"
"394","AK4"
"395","DNAJC6"
"396","LEPR"
"397","PDE4B"
"398","SGIP1"
"399","TCTEX1D1"
"400","MIER1"
"401","IL12RB2"
"402","GADD45A"
"403","PIN1P1"
"404","SRSF11"
"405","HHLA3"
"406","CTH"
"407","FPGT"
"408","TYW3"
"409","ACADM"
"410","RABGGTB"
"411","SNORD45C"
"412","SNORD45A"
"413","SNORD45B"
"414","ST6GALNAC3"
"415","TPI1"
"416","ST6GALNAC5"
"417","RPL17"
"418","AK5"
"419","FAM73A"
"420","NEXN"
"421","DNAJB4"
"422","GIPC2"
"423","PTGFR"
"424","IFI44L"
"425","IFI44"
"426","LPHN2"
"427","ARID3B"
"428","PRKACB"
"429","RPF1"
"430","WDR63"
"431","CYR61"
"432","CLCA2"
"433","CLCA4"
"434","SH3GLB1"
"435","HS2ST1"
"436","LOC339524"
"437","LMO4"
"438","PKN2"
"439","LRRC8B"
"440","LRRC8C"
"441","LRRC8D"
"442","ZNF326"
"443","CDC7"
"444","HSP90B3P"
"445","EPHX4"
"446","BTBD8"
"447","KIAA1107"
"448","RPAP2"
"449","RPL5"
"450","SNORD21"
"451","MTF2"
"452","CCDC18"
"453","DR1"
"454","FNBP1L"
"455","ABCD3"
"456","SLC44A3"
"457","TMEM56"
"458","RWDD3"
"459","PTBP2"
"460","SNX7"
"461","LPPR4"
"462","PALMD"
"463","AGL"
"464","SLC35A3"
"465","HIAT1"
"466","CCDC76"
"467","RTCD1"
"468","CDC14A"
"469","GPR88"
"470","VCAM1"
"471","SLC30A7"
"472","S1PR1"
"473","RNPC3"
"474","AMY2B"
"475","AMY2A"
"476","AMY1A"
"477","PRMT6"
"478","NTNG1"
"479","NBPF4"
"480","NBPF6"
"481","FAM102B"
"482","PRPF38B"
"483","STXBP3"
"484","GPSM2"
"485","TMEM167B"
"486","KIAA1324"
"487","SARS"
"488","CELSR2"
"489","SYPL2"
"490","ATXN7L2"
"491","CYB561D1"
"492","GPR61"
"493","GNAI3"
"494","MIR197"
"495","AMPD2"
"496","GSTM4"
"497","GSTM2"
"498","GSTM1"
"499","GSTM5"
"500","CSF1"
"501","AHCYL1"
"502","FAM40A"
"503","UBL4B"
"504","SLC6A17"
"505","KCNC4"
"506","RBM15"
"507","PROK1"
"508","CD53"
"509","CEPT1"
"510","CHI3L2"
"511","CHIA"
"512","C1orf88"
"513","ATP5F1"
"514","C1orf162"
"515","RAP1A"
"516","DDX20"
"517","CTTNBP2NL"
"518","WNT2B"
"519","CAPZA1"
"520","MOV10"
"521","FAM19A3"
"522","LOC128322"
"523","AKR7A2P1"
"524","LRIG2"
"525","MAGI3"
"526","DCLRE1B"
"527","HIPK1"
"528","OLFML3"
"529","VANGL1"
"530","SLC22A15"
"531","ATP1A1"
"532","CD2"
"533","PTGFRN"
"534","CD101"
"535","TTF2"
"536","MAN1A2"
"537","FAM46C"
"538","WDR3"
"539","HAO2"
"540","HSD3B1"
"541","HSD3BP4"
"542","PHGDH"
"543","FAM72D"
"544","HIST2H2BA"
"545","SRGAP2"
"546","LOC51152"
"547","SRGAP2P2"
"548","NBPF9"
"549","NBPF1"
"550","NBPF10"
"551","NBPF14"
"552","NBPF16"
"553","SEC22B"
"554","NOTCH2NL"
"555","HFE2"
"556","TXNIP"
"557","ANKRD34A"
"558","LIX1L"
"559","RBM8A"
"560","PEX11B"
"561","ITGA10"
"562","ANKRD35"
"563","PIAS3"
"564","RNF115"
"565","PDZK1"
"566","GPR89A"
"567","FAM108A1"
"568","NBPF11"
"569","PDIA3P"
"570","CHD1L"
"571","BCL9"
"572","GJA8"
"573","GPR89B"
"574","PDE4DIP"
"575","VOPP1"
"576","C1orf152"
"577","NBPF15"
"578","PPIAL4A"
"579","FLJ37786"
"580","DRD5"
"581","LOC645166"
"582","FCGR1A"
"583","HIST2H4A"
"584","HIST2H2AA3"
"585","HIST2H3A"
"586","HIST2H2AC"
"587","BOLA1"
"588","VPS45"
"589","PLEKHO1"
"590","CA14"
"591","C1orf54"
"592","C1orf51"
"593","MRPS21"
"594","PRPF3"
"595","RPRD2"
"596","TARS2"
"597","ECM1"
"598","ADAMTSL4"
"599","SETDB1"
"600","ANXA9"
"601","PRUNE"
"602","BNIPL"
"603","C1orf56"
"604","MLLT11"
"605","GABPB2"
"606","TNFAIP8L2"
"607","SCNM1"
"608","PIP5K1A"
"609","PSMD4"
"610","ZNF687"
"611","PSMB4"
"612","CGN"
"613","TUFT1"
"614","SNX27"
"615","C1orf230"
"616","OAZ3"
"617","LCE5A"
"618","CRCT1"
"619","LCE3C"
"620","LCE3B"
"621","C1orf46"
"622","LCE2D"
"623","LCE2C"
"624","LCE2B"
"625","LCE2A"
"626","LCE4A"
"627","C1orf68"
"628","KPRP"
"629","LCE1F"
"630","LCE1E"
"631","LCE1D"
"632","LCE1B"
"633","LCE1A"
"634","SMCP"
"635","IVL"
"636","SPRR4"
"637","SPRR1A"
"638","SPRR3"
"639","SPRR1B"
