ID,CRC.222,CRC.57,CRC.82,CRC.220,CRC.90,CRC.180,CRC.151,CRC.143,CRC.235,CRC.238,CRC.104,CRC.160,CRC.97,CRC.66,CRC.96,CRC.134,CRC.207,CRC.132,CRC.190,CRC.204,CRC.102,CRC.121,CRC.144,CRC.17,CRC.50,CRC.9,CRC.145,CRC.199,CRC.136,CRC.6,CRC.225,CRC.110,CRC.152,CRC.46,CRC.157,CRC.118,CRC.149,CRC.48,CRC.206,CRC.5,CRC.47,CRC.60,CRC.219,CRC.27,CRC.169,CRC.231,CRC.119,CRC.18,CRC.164,CRC.163,CRC.130,CRC.100,CRC.191,CRC.173,CRC.109,CRC.205,CRC.55,CRC.183,CRC.116,CRC.87,CRC.88,CRC.139,CRC.166,CRC.77,CRC.86,CRC.175,CRC.23,CRC.105,CRC.10,CRC.141,CRC.52,CRC.215,CRC.198,CRC.12,CRC.42,CRC.240,CRC.58,CRC.233,CRC.171,CRC.53,CRC.44,CRC.93,CRC.35,CRC.39,CRC.80,CRC.224,CRC.140,CRC.36,CRC.65,CRC.22,CRC.43,CRC.192,CRC.216,CRC.229,CRC.232,CRC.189,CRC.135,CRC.7,CRC.146,CRC.156,CRC.178,CRC.25,CRC.227,CRC.213,CRC.195,CRC.237,CRC.214,CRC.234,CRC.186,CRC.197,CRC.188,CRC.172,CRC.210,CRC.182,CRC.89,CRC.24,CRC.174,CRC.113,CRC.211,CRC.239,CRC.40,CRC.161,CRC.202,CRC.230,CRC.201,CRC.170,CRC.196,CRC.19,CRC.194,CRC.177,CRC.193
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,0,0,0,0.000347766,0,0,0,0.001243781,0.005424955,0.000565451,0,0,0.000546896,0.273632813,0.011456212,0.000286451,0,0,0,0,0,0,0,0,0.281935565,0.002536998,0.000320102,0,0,0.279719052,0,0.000195046,0.000416753,0.009405501,0,0,0,0.001608234,0.0001554,0.03287311,0,0,0.000386997,0.002312139,0,0,0.000737137,0.006349206,0.000318066,0.001535627,0,0,0,0.000209074,0,0,0,0.003339192,0,0,0,0.001897019,0,0.001922584,0.000272777,0,0.000285714,0.001010271,0.000350508,0,0.001027046,0.000263713,0.000255428,0.000554939,0,0,0.00040024,0.000214638,0,0.000401983,0.001507159,0,0.010710808,0.000268192,0,0,0,0.039403621,0.000687837,0.000230574,0.002152318,0.001794412,0,0,0,0,0,0,0,0,0.012606366,0,0,0,0.000285741,0,0,0,0,0,0,0,0,0,0,0,0,0.001339585,0,0.001849568,0,0,0.000655451,0,0.000237643,0,0.000686028,0,0,0,0.000546747
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,0.001344086,0.001576835,0.001016777,0.001564945,0,0.000284981,0.023809524,0.010779436,0.072332731,0.005654509,0,0.002359285,0.000820345,0.066601563,0.03793279,0.000572902,0.007804477,0,0.000336927,0.021373352,0.000536625,0.001266357,0.002632349,0.007792648,0.001253604,0.005073996,0.002560819,0.142857143,0,0.196488147,0.005138746,0.000975229,0.006042926,0.008695652,0.001246883,0.021420725,0.001683502,0.007719524,0.003418803,0.017422748,0.007670999,0.008488964,0.001160991,0.031213873,0.001470588,0.010276172,0.011941619,0.101058201,0.011768448,0.001535627,0.00384714,0.001106684,0,0.026970521,0.002723083,0,0.142857143,0.00913884,0.001768034,0.000160102,0,0.03604336,0.012002342,0.063188926,0.031096563,0.007575758,0.022,0.63495538,0.010865755,0.000259269,0.005819925,0.002900844,0.000510856,0.00554939,0.004012841,0.029569047,0.0010006,0.00515132,0.001648352,0.006565724,0.010097965,0.002669039,0.034079844,0.020740211,0.000451569,0,0.009661836,0.175262437,0.014444572,0.013834448,0.082450331,0.005383235,0.002881844,0.013916501,0,0.019381533,0.000460299,0.026315789,0.024212736,0.003094379,0.067759218,0.106890228,0.001898254,0.000183638,0.022573578,0.00056794,0.000212269,0,0.012626263,0.001374334,0.000962927,0.020214031,0.006450178,0.004847951,0,0.001748252,0.113207547,0.005135075,0.002079002,0.002774353,0.088888889,0.013448276,0.015293861,0.001112347,0.001901141,0.001727116,0.000457352,0.020882452,0.000660175,0.00030525,0.003827228
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae,0,0.000286697,0,0,0,0,0,0.004975124,0.00031449,0.015267176,0.000957625,0.000674082,0.008750342,0,0,0,0,0.000611434,0,0,0,0,0.004387248,0.000677622,0.000376081,0.016384778,0,0,0,0.002809482,0,0,0,0.000887311,0,0.000183083,0.0002405,0.010614345,0.001554002,0.010190664,0,0.000848896,0,0.001541426,0,0.002569043,0.000442282,0,0,0.002149877,0,0.000221337,0.007459903,0,0,0.002514669,0,0.000351494,0,0.008965738,0,0.002439024,0,0.000897206,0.015002728,0,0.000285714,0.033507324,0,0,0.000342349,0,0,0.002774695,0,0,0,0.001073192,0.000824176,0,0.004822909,0.00044484,0.005355404,8.94E-05,0,0,0,0.00060855,0,0.000461148,0,0.011279159,0,0.001491054,0,0,0.000690449,0,0.00139958,0,0.000630318,0.010479434,0,0.002387292,0,0,0.000849077,0,0,0.000515375,0.002888782,0,0,0.000220361,0.018505981,0,0,0,0.004158004,0.001233046,0,0,0,0,0,0.002014968,0,0,0,0,0.000546747
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__,0.052419355,0.066513761,0.032536858,0.128325509,0,0.015673981,0.015873016,0.021973466,0.020677726,0.01498445,0.018434283,0.063363667,0.054689636,0.022070313,0.057790224,0.056430822,0.07948244,0.018648731,0.028301887,0.042064575,0.028172793,0.025749261,0.033343083,0.014399458,0.03046258,0.058562368,0.024647887,0.034013605,0.121212121,0.035645303,0.10688592,0.015993759,0.025838716,0.027506655,0.049044057,0.034419627,0.031746032,0.022836925,0.069153069,0.052925707,0.019603665,0.025466893,0.023219814,0.031984586,0.072426471,0.036180689,0.034203155,0.029100529,0.02735369,0.027948403,0.032315978,0.093404161,0.030958598,0.037006063,0.025764558,0.122380553,0,0.011599297,0.055162659,0.086295229,0,0.024119241,0.046838407,0.023968213,0.077195854,0.03030303,0.089428571,0.001347028,0.036803365,0.028519575,0.067100308,0.049314346,0.032694764,0.043285239,0.051364366,0.023435042,0.034220532,0.031337197,0.062087912,0.028406807,0.054107008,0.055160142,0.085686465,0.072143751,0.039512305,0.02546523,0.036231884,0.018560779,0.049065688,0.082545538,0.084850993,0.010253781,0.066282421,0.041252485,0,0.152221254,0.106789413,0.092105263,0.131280616,0.027333677,0.047589032,0.051873199,0.072892938,0.019924708,0.040480046,0.065029107,0.032052643,0.087689713,0.065656566,0.047242742,0.100625903,0.017439556,0.021352313,0.028206258,0.122997066,0.047202797,0.053701016,0.045769145,0.022002772,0.01972873,0,0.079310345,0.038016168,0.065469569,0.04134981,0.026482441,0.014863938,0.051532503,0.017164549,0.031746032,0.023510115
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,0.009408602,0.008170872,0.005210981,0.006607547,0,0.012254203,0,0.070066335,0.009356081,0.004806333,0.049557098,0.026963263,0.031719989,0.016796875,0.007892057,0.019478659,0.020538098,0.018648731,0.013477089,0.002046385,0.015830427,0.001266357,0.03217315,0.001694054,0.001002883,0.030021142,0.009923175,0.020408163,0.181818182,0.016505707,0.009763618,0.002925688,0.015003126,0.085359361,0.01039069,0.004943244,0.009139009,0.00707623,0.005905206,0.047337278,0.03409333,0.019524618,0.002902477,0.067052023,0.002573529,0.032755299,0.001769129,0.018518519,0.019083969,0.069103194,0.000512952,0.005533422,0.027601641,0.002717959,0.022203603,0.035205365,0.095238095,0.001054482,0.073550212,0.080691643,0.117647059,0.164769648,0.036007026,0.00961292,0.02264048,0.015151515,0.056285714,0.001010271,0.026989134,0.115374644,0.014720986,0.070938819,0.003320562,0.041065483,0.018459069,0.004246618,0.022213328,0.030693282,0.020604396,0.001875921,0.028033157,0.018683274,0.001460565,0.047023065,0.006321969,0.002938296,0.002717391,0.004868401,0.061102832,0.015217893,0.004304636,0.025121764,0.008645533,0.006461233,0.015873016,0.010888502,0.029459148,0.013157895,0.001539538,0.000773595,0.020485345,0.023316741,0.013287775,0.047562207,0.0050481,0.002271759,0.005306729,0.018549747,0.015151515,0.016148428,0.066441984,0.000792707,0.035587189,0.008594094,0.038366057,0.001748252,0.056603774,0.008707301,0.00987526,0.047163995,0.088888889,0.020344828,0,0.013665978,0.004752852,0.014968336,0.00114338,0.006399461,0.014688893,0.017704518,0.026790596
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Catabacteriaceae,0.001344086,0.000143349,0,0.000173883,0.005347594,0,0,0.001658375,0,0,0.000718219,0,0,0,0,0.026926382,0.002259191,0.000917151,0.001347709,0,0.000536625,0,0,0,0,0.000105708,0.000640205,0,0,0.000175593,0.001027749,0,0.000416753,0.001597161,0.000415628,0,0,0,0.0001554,0,0.003409333,0.000848896,0,0,0.005147059,0.129522586,0,0.005291005,0.001590331,0,0,0,0.002610966,0,0,0,0,0,0,0,0,0,0,0.000128172,0.001091107,0,0.007142857,0.000168379,0.001402033,0.015556132,0,0.000263713,0,0.016648169,0,0,0.00060036,0.002361022,0,0,0.000150716,0,0,0.000804577,0,0,0,0,0,0.000230574,0,0.000512689,0,0,0,0.00021777,0,0,0,0,0,0,0.000379651,0,0,0,0,0,0,0,0,0,0,0.001983253,0,0,0,0.001562849,0,0.003390875,0,0,0,0.000158907,0,0,0,0,0,0.001831502,0.000546747
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,0,0,0,0,0,0,0,0.001243781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171292,0,0,0,0,0.002013914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307125,0,0,0.003356956,0,0,0,0,0,0.00106082,0,0,0.000271003,0.00029274,0,0,0,0.000857143,0,0,0,0,0,0,0,0.000802568,0,0,0.000214638,0,0,0,0,0,0,0,0,0,0,0.000687837,0,0,0,0,0,0,0,0,0,0,0,0.000630318,0,0,0,0,0,0.000424538,0,0,0.000171792,0,0.001189061,0,0,0.000225683,0,0,0,0,0.001541307,0,0,0,0,0,0,0,0,0,0,0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,0.008064516,0.003583716,0.00305033,0.001391062,0,0.001424907,0,0.014096186,0.002830411,0.001413627,0.002633469,0.005729693,0.007109653,0.0125,0.00203666,0.006874821,0.003491477,0.00397432,0.033692722,0.001364256,0.008317682,0.001266357,0.012284294,0.001016432,0.020183026,0.012473573,0.008642766,0.020408163,0,0.00737489,0.002911956,0.002145504,0.003959158,0.035314996,0.002909393,0.011351153,0.028379028,0.009327758,0.001087801,0.022682446,0.005114,0.01188455,0.02244582,0.005009634,0.000735294,0.015200171,0.002358838,0.01005291,0.005725191,0.014127764,0.000512952,0.002656042,0.030958598,0.000209074,0.006912442,0.003352892,0.095238095,0.000878735,0.03960396,0.005123279,0.058823529,0.019512195,0.00204918,0.019866701,0.015548282,0.053030303,0.022285714,0.002525678,0.010164739,0.008815141,0.006504622,0.02056962,0.001532567,0.017203108,0.006420546,0.030355458,0.003201921,0.00901481,0.038461538,0.000803966,0.02170309,0.00133452,0.003407984,0.005810835,0.000451569,0.000489716,0.002415459,0.002890613,0.004700218,0.007147798,0.002483444,0.019482184,0,0.001988072,0,0.005226481,0.001841197,0,0.001959412,0.00051573,0.000315159,0.005239717,0.001518603,0.018180149,0.010477188,0.002129774,0.002122692,0.015177066,0,0.003779419,0.051035147,0.003963535,0.00022242,0.00154253,0.012186865,0.003496503,0.015965167,0.013395847,0.006237006,0.008323058,0,0.032068966,0.003058772,0.003972668,0.005941065,0.005181347,0.002058084,0.001347255,0.002475656,0.001221001,0.007654456
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,0,0.000286697,0.000381291,0,0,0,0.007936508,0,0,0,0,0,0,0,0,0.001718705,0.001848429,0,0,0.000454752,0,0,0,0.001016432,0.001880406,0.000211416,0,0,0,0,0.001027749,0,0.000833507,0,0,0.000549249,0.0002405,0.000643294,0,0,0.006179416,0,0,0,0.000735294,0.000428174,0.000294855,0,0.000318066,0.000307125,0.001025904,0.000664011,0.003356956,0,0.000209468,0,0,0,0.000707214,0,0,0.000271003,0.00087822,0.002178928,0.001636661,0,0,0,0,0.000777807,0,0.000527426,0.000255428,0,0,0.001100975,0,0,0.001923077,0.000133994,0,0,0.000486855,0.000804577,0.000225785,0.002775057,0.000301932,0,0,0.002075167,0,0,0,0,0,0,0,0,0,0,0,0.000261986,0.000379651,0,0,0.001845804,0.000636807,0,0,0,0,0.000792707,0.00133452,0,0.001128413,0,0,0.071667783,0.00017325,0,0,0.003103448,0,0.000158907,0.00095057,0.000575705,0.000457352,0,0,0.000610501,0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,0.192204301,0.206422018,0.189247585,0.349678317,0.176470588,0.223425477,0.5,0.145936982,0.156380219,0.230138535,0.239406272,0.453993933,0.27372163,0.237109375,0.498217923,0.292752793,0.462517971,0.169061449,0.345350404,0.570486585,0.338073518,0.322710004,0.291898216,0.630865662,0.304249718,0.378435518,0.159731114,0.244897959,0.515151515,0.203160667,0.499314834,0.395552955,0.221296103,0.165217391,0.482543641,0.55693885,0.373256373,0.238018656,0.695415695,0.455950033,0.399531217,0.428692699,0.378676471,0.295183044,0.315441176,0.205523443,0.651334218,0.357142857,0.526717557,0.235872236,0.425750192,0.411243913,0.318164864,0.712105373,0.354629242,0.394803018,0.19047619,0.456414763,0.310113154,0.252161383,0.470588235,0.241192412,0.537470726,0.340553704,0.364157119,0.113636364,0.402857143,0.011786496,0.474938661,0.49883329,0.354673057,0.397415612,0.57752235,0.384572697,0.21187801,0.558508965,0.33420052,0.229663018,0.33021978,0.270534638,0.29630746,0.270907473,0.371470302,0.449222242,0.446601942,0.476003918,0.403683575,0.209341244,0.302533532,0.456536777,0.464403974,0.356575237,0.766570605,0.355367793,0.317460317,0.461454704,0.480552359,0.421052632,0.599160252,0.481433729,0.331547431,0.325910401,0.500379651,0.351207419,0.261072483,0.544086327,0.524729357,0.509274874,0.381313131,0.175227624,0.423688012,0.571541815,0.400133452,0.203393565,0.328142631,0.604895105,0.28011611,0.254521098,0.226784477,0.165844636,0.4,0.452413793,0.347607603,0.656125854,0.243108365,0.219343696,0.35147496,0.554732233,0.178247236,0.191697192,0.24694733
