"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000022776",1,1,0,0,0,NA
"RAMP_C_000022777",1,1,0,0,0,NA
"RAMP_C_000022803",1,1,0,0,0,NA
"RAMP_C_000022808",1,1,0,0,0,NA
"RAMP_C_000022825",1,1,0,0,0,NA
"RAMP_C_000022826",1,1,0,0,0,NA
"RAMP_C_000022843",1,1,0,0,0,NA
"RAMP_C_000022855",1,1,0,0,0,NA
"RAMP_C_000022874",1,1,0,0,0,NA
"RAMP_C_000022884",1,1,0,0,0,NA
"RAMP_C_000022902",1,1,0,0,0,NA
"RAMP_C_000022945",1,1,0,0,0,NA
"RAMP_C_000022984",1,1,0,0,0,NA
"RAMP_C_000022986",1,1,0,0,0,NA
"RAMP_C_000023008",1,1,0,0,0,NA
"RAMP_C_000023018",1,1,0,0,0,NA
"RAMP_C_000023038",1,1,0,0,0,NA
"RAMP_C_000023046",1,1,0,0,0,NA
"RAMP_C_000023056",1,1,0,0,0,NA
"RAMP_C_000023057",1,1,0,0,0,NA
"RAMP_C_000023058",1,1,0,0,0,NA
"RAMP_C_000023076",1,1,0,0,0,NA
"RAMP_C_000023094",1,1,0,0,0,NA
"RAMP_C_000023113",1,1,0,0,0,NA
"RAMP_C_000023118",1,1,0,0,0,NA
"RAMP_C_000023129",1,1,0,0,0,NA
"RAMP_C_000023158",1,1,0,0,0,NA
"RAMP_C_000023161",1,1,0,0,0,NA
"RAMP_C_000023181",1,1,0,0,0,NA
"RAMP_C_000023182",1,1,0,0,0,NA
"RAMP_C_000023186",1,1,0,0,0,NA
"RAMP_C_000023188",1,1,0,0,0,NA
"RAMP_C_000023191",1,1,0,0,0,NA
"RAMP_C_000023207",1,1,0,0,0,NA
"RAMP_C_000023214",1,1,0,0,0,NA
"RAMP_C_000023229",1,1,0,0,0,NA
"RAMP_C_000023242",1,1,0,0,0,NA
"RAMP_C_000023259",1,1,0,0,0,NA
"RAMP_C_000023265",1,1,0,0,0,NA
"RAMP_C_000023270",1,1,0,0,0,NA
"RAMP_C_000023287",1,1,0,0,0,NA
"RAMP_C_000023288",1,1,0,0,0,NA
"RAMP_C_000023303",1,1,0,0,0,NA
"RAMP_C_000023329",1,1,0,0,0,NA
"RAMP_C_000023334",1,1,0,0,0,NA
"RAMP_C_000023348",1,1,0,0,0,NA
"RAMP_C_000023359",1,1,0,0,0,NA
"RAMP_C_000023361",1,1,0,0,0,NA
"RAMP_C_000023407",1,1,0,0,0,NA
"RAMP_C_000023409",1,1,0,0,0,NA
"RAMP_C_000023416",1,1,0,0,0,NA
"RAMP_C_000023440",1,1,0,0,0,NA
"RAMP_C_000023456",1,1,0,0,0,NA
"RAMP_C_000023474",1,1,0,0,0,NA
"RAMP_C_000023494",1,1,0,0,0,NA
"RAMP_C_000023521",1,1,0,0,0,NA
"RAMP_C_000023530",1,1,0,0,0,NA
"RAMP_C_000023540",1,1,0,0,0,NA
"RAMP_C_000023541",1,1,0,0,0,NA
"RAMP_C_000023546",1,1,0,0,0,NA
"RAMP_C_000023551",1,1,0,0,0,NA
"RAMP_C_000023555",1,1,0,0,0,NA
"RAMP_C_000023564",1,1,0,0,0,NA
"RAMP_C_000023566",1,1,0,0,0,NA
"RAMP_C_000023575",1,1,0,0,0,NA
"RAMP_C_000023584",1,1,0,0,0,NA
"RAMP_C_000023586",1,1,0,0,0,NA
"RAMP_C_000023598",1,1,0,0,0,NA
"RAMP_C_000023610",1,1,0,0,0,NA
"RAMP_C_000023631",1,1,0,0,0,NA
"RAMP_C_000023643",1,1,0,0,0,NA
"RAMP_C_000023647",1,1,0,0,0,NA
"RAMP_C_000023656",1,1,0,0,0,NA
"RAMP_C_000023678",1,1,0,0,0,NA
"RAMP_C_000023687",1,1,0,0,0,NA
"RAMP_C_000023714",1,1,0,0,0,NA
"RAMP_C_000023733",1,1,0,0,0,NA
"RAMP_C_000023736",1,1,0,0,0,NA
"RAMP_C_000023787",1,1,0,0,0,NA
"RAMP_C_000023798",1,1,0,0,0,NA
"RAMP_C_000023802",1,1,0,0,0,NA
"RAMP_C_000023808",1,1,0,0,0,NA
"RAMP_C_000023818",1,1,0,0,0,NA
"RAMP_C_000023825",1,1,0,0,0,NA
"RAMP_C_000023830",1,1,0,0,0,NA
"RAMP_C_000023858",1,1,0,0,0,NA
"RAMP_C_000023863",1,1,0,0,0,NA
"RAMP_C_000023896",1,1,0,0,0,NA
"RAMP_C_000023898",1,1,0,0,0,NA
"RAMP_C_000023935",1,1,0,0,0,NA
"RAMP_C_000023944",1,1,0,0,0,NA
"RAMP_C_000023968",1,1,0,0,0,NA
"RAMP_C_000023992",1,1,0,0,0,NA
"RAMP_C_000024010",1,1,0,0,0,NA
"RAMP_C_000024014",1,1,0,0,0,NA
"RAMP_C_000024055",1,1,0,0,0,NA
"RAMP_C_000024064",1,1,0,0,0,NA
"RAMP_C_000024082",1,1,0,0,0,NA
"RAMP_C_000024093",1,1,0,0,0,NA
"RAMP_C_000024094",1,1,0,0,0,NA
"RAMP_C_000024100",1,1,0,0,0,NA
"RAMP_C_000024135",1,1,0,0,0,NA
"RAMP_C_000024142",1,1,0,0,0,NA
"RAMP_C_000024149",1,1,0,0,0,NA
"RAMP_C_000024160",1,1,0,0,0,NA
"RAMP_C_000024176",1,1,0,0,0,NA
"RAMP_C_000024191",1,1,0,0,0,NA
"RAMP_C_000024216",1,1,0,0,0,NA
"RAMP_C_000024221",1,1,0,0,0,NA
"RAMP_C_000024245",1,1,0,0,0,NA
"RAMP_C_000024280",1,1,0,0,0,NA
"RAMP_C_000024316",1,1,0,0,0,NA
"RAMP_C_000024334",1,1,0,0,0,NA
"RAMP_C_000024336",1,1,0,0,0,NA
"RAMP_C_000024346",1,1,0,0,0,NA
"RAMP_C_000024385",1,1,0,0,0,NA
"RAMP_C_000024391",1,1,0,0,0,NA
"RAMP_C_000024470",1,1,0,0,0,NA
"RAMP_C_000024491",1,1,0,0,0,NA
"RAMP_C_000024518",1,1,0,0,0,NA
"RAMP_C_000024534",1,1,0,0,0,NA
"RAMP_C_000024552",1,1,0,0,0,NA
"RAMP_C_000024564",1,1,0,0,0,NA
"RAMP_C_000024570",1,1,0,0,0,NA
"RAMP_C_000024580",1,1,0,0,0,NA
"RAMP_C_000024591",1,1,0,0,0,NA
"RAMP_C_000024610",1,1,0,0,0,NA
"RAMP_C_000024617",1,1,0,0,0,NA
"RAMP_C_000024621",1,1,0,0,0,NA
"RAMP_C_000024625",1,1,0,0,0,NA
"RAMP_C_000024636",1,1,0,0,0,NA
"RAMP_C_000024649",1,1,0,0,0,NA
"RAMP_C_000024671",1,1,0,0,0,NA
"RAMP_C_000024680",1,1,0,0,0,NA
"RAMP_C_000024686",1,1,0,0,0,NA
"RAMP_C_000024698",1,1,0,0,0,NA
"RAMP_C_000024719",1,1,0,0,0,NA
"RAMP_C_000024734",1,1,0,0,0,NA
"RAMP_C_000024736",1,1,0,0,0,NA
"RAMP_C_000024743",1,1,0,0,0,NA
"RAMP_C_000024755",1,1,0,0,0,NA
"RAMP_C_000024756",1,1,0,0,0,NA
"RAMP_C_000024763",1,1,0,0,0,NA
"RAMP_C_000024771",1,1,0,0,0,NA
"RAMP_C_000024783",1,1,0,0,0,NA
"RAMP_C_000024784",1,1,0,0,0,NA
"RAMP_C_000024798",1,1,0,0,0,NA
"RAMP_C_000024805",1,1,0,0,0,NA
"RAMP_C_000024808",1,1,0,0,0,NA
"RAMP_C_000024854",1,1,0,0,0,NA
"RAMP_C_000024857",1,1,0,0,0,NA
"RAMP_C_000024865",1,1,0,0,0,NA
"RAMP_C_000024885",1,1,0,0,0,NA
"RAMP_C_000024888",1,1,0,0,0,NA
"RAMP_C_000024889",1,1,0,0,0,NA
"RAMP_C_000024891",1,1,0,0,0,NA
"RAMP_C_000024894",1,1,0,0,0,NA
"RAMP_C_000024902",1,1,0,0,0,NA
"RAMP_C_000024917",1,1,0,0,0,NA
"RAMP_C_000024926",1,1,0,0,0,NA
"RAMP_C_000024928",1,1,0,0,0,NA
"RAMP_C_000024956",1,1,0,0,0,NA
"RAMP_C_000024960",1,1,0,0,0,NA
"RAMP_C_000024982",1,1,0,0,0,NA
"RAMP_C_000024983",1,1,0,0,0,NA
"RAMP_C_000024994",1,1,0,0,0,NA
"RAMP_C_000025050",1,1,0,0,0,NA
"RAMP_C_000025060",1,1,0,0,0,NA
"RAMP_C_000025077",1,1,0,0,0,NA
"RAMP_C_000025082",1,1,0,0,0,NA
"RAMP_C_000025109",1,1,0,0,0,NA
"RAMP_C_000025111",1,1,0,0,0,NA
"RAMP_C_000025123",1,1,0,0,0,NA
"RAMP_C_000025128",1,1,0,0,0,NA
"RAMP_C_000025133",1,1,0,0,0,NA
"RAMP_C_000025143",1,1,0,0,0,NA
"RAMP_C_000025150",1,1,0,0,0,NA
"RAMP_C_000025155",1,1,0,0,0,NA
"RAMP_C_000025161",1,1,0,0,0,NA
"RAMP_C_000025172",1,1,0,0,0,NA
"RAMP_C_000025195",1,1,0,0,0,NA
"RAMP_C_000025221",1,1,0,0,0,NA
"RAMP_C_000025234",1,1,0,0,0,NA
"RAMP_C_000025261",1,1,0,0,0,NA
"RAMP_C_000025267",1,1,0,0,0,NA
"RAMP_C_000025290",1,1,0,0,0,NA
"RAMP_C_000025298",1,1,0,0,0,NA
"RAMP_C_000025307",1,1,0,0,0,NA
"RAMP_C_000025310",1,1,0,0,0,NA
"RAMP_C_000025314",1,1,0,0,0,NA
"RAMP_C_000025325",1,1,0,0,0,NA
"RAMP_C_000025333",1,1,0,0,0,NA
"RAMP_C_000025343",1,1,0,0,0,NA
"RAMP_C_000025344",1,1,0,0,0,NA
"RAMP_C_000025348",1,1,0,0,0,NA
"RAMP_C_000025354",1,1,0,0,0,NA
"RAMP_C_000025369",1,1,0,0,0,NA
"RAMP_C_000025374",1,1,0,0,0,NA
"RAMP_C_000025387",1,1,0,0,0,NA
"RAMP_C_000025388",1,1,0,0,0,NA
"RAMP_C_000025391",1,1,0,0,0,NA
"RAMP_C_000025405",1,1,0,0,0,NA
"RAMP_C_000025433",1,1,0,0,0,NA
"RAMP_C_000025439",1,1,0,0,0,NA
"RAMP_C_000025453",1,1,0,0,0,NA
"RAMP_C_000025456",1,1,0,0,0,NA
"RAMP_C_000025459",1,1,0,0,0,NA
"RAMP_C_000025461",1,1,0,0,0,NA
"RAMP_C_000025477",1,1,0,0,0,NA
"RAMP_C_000025484",1,1,0,0,0,NA
"RAMP_C_000025486",1,1,0,0,0,NA
"RAMP_C_000025494",1,1,0,0,0,NA
"RAMP_C_000025500",1,1,0,0,0,NA
"RAMP_C_000025511",1,1,0,0,0,NA
"RAMP_C_000025526",1,1,0,0,0,NA
"RAMP_C_000025531",1,1,0,0,0,NA
"RAMP_C_000025535",1,1,0,0,0,NA
"RAMP_C_000025560",1,1,0,0,0,NA
"RAMP_C_000025572",1,1,0,0,0,NA
"RAMP_C_000025580",1,1,0,0,0,NA
"RAMP_C_000025583",1,1,0,0,0,NA
"RAMP_C_000025590",1,1,0,0,0,NA
"RAMP_C_000025593",1,1,0,0,0,NA
"RAMP_C_000025601",1,1,0,0,0,NA
"RAMP_C_000025604",1,1,0,0,0,NA
"RAMP_C_000025617",1,1,0,0,0,NA
"RAMP_C_000025632",1,1,0,0,0,NA
"RAMP_C_000025666",1,1,0,0,0,NA
"RAMP_C_000025694",1,1,0,0,0,NA
"RAMP_C_000025702",1,1,0,0,0,NA
"RAMP_C_000025726",1,1,0,0,0,NA
"RAMP_C_000025729",1,1,0,0,0,NA
"RAMP_C_000025745",1,1,0,0,0,NA
"RAMP_C_000025748",1,1,0,0,0,NA
"RAMP_C_000025756",1,1,0,0,0,NA
"RAMP_C_000025764",1,1,0,0,0,NA
"RAMP_C_000025774",1,1,0,0,0,NA
"RAMP_C_000025782",1,1,0,0,0,NA
"RAMP_C_000025805",1,1,0,0,0,NA
"RAMP_C_000025808",1,1,0,0,0,NA
"RAMP_C_000025823",1,1,0,0,0,NA
"RAMP_C_000025830",1,1,0,0,0,NA
"RAMP_C_000025834",1,1,0,0,0,NA
"RAMP_C_000025839",1,1,0,0,0,NA
"RAMP_C_000025840",1,1,0,0,0,NA
"RAMP_C_000025867",1,1,0,0,0,NA
"RAMP_C_000025869",1,1,0,0,0,NA
"RAMP_C_000025920",1,1,0,0,0,NA
"RAMP_C_000025927",1,1,0,0,0,NA
"RAMP_C_000025955",1,1,0,0,0,NA
"RAMP_C_000025976",1,1,0,0,0,NA
"RAMP_C_000026004",1,1,0,0,0,NA
"RAMP_C_000026026",1,1,0,0,0,NA
"RAMP_C_000026028",1,1,0,0,0,NA
"RAMP_C_000026043",1,1,0,0,0,NA
"RAMP_C_000026049",1,1,0,0,0,NA
"RAMP_C_000026056",1,1,0,0,0,NA
"RAMP_C_000026077",1,1,0,0,0,NA
"RAMP_C_000026079",1,1,0,0,0,NA
"RAMP_C_000026081",1,1,0,0,0,NA
"RAMP_C_000026087",1,1,0,0,0,NA
"RAMP_C_000026090",1,1,0,0,0,NA
"RAMP_C_000026115",1,1,0,0,0,NA
"RAMP_C_000026124",1,1,0,0,0,NA
"RAMP_C_000026128",1,1,0,0,0,NA
"RAMP_C_000026136",1,1,0,0,0,NA
"RAMP_C_000026140",1,1,0,0,0,NA
"RAMP_C_000026141",1,1,0,0,0,NA
"RAMP_C_000026157",1,1,0,0,0,NA
"RAMP_C_000026181",1,1,0,0,0,NA
"RAMP_C_000026184",1,1,0,0,0,NA
"RAMP_C_000026186",1,1,0,0,0,NA
"RAMP_C_000026190",1,1,0,0,0,NA
"RAMP_C_000026217",1,1,0,0,0,NA
"RAMP_C_000026232",1,1,0,0,0,NA
"RAMP_C_000026238",1,1,0,0,0,NA
"RAMP_C_000026255",1,1,0,0,0,NA
"RAMP_C_000026256",1,1,0,0,0,NA
"RAMP_C_000026261",1,1,0,0,0,NA
"RAMP_C_000026267",1,1,0,0,0,NA
"RAMP_C_000026269",1,1,0,0,0,NA
"RAMP_C_000026270",1,1,0,0,0,NA
"RAMP_C_000026288",1,1,0,0,0,NA
"RAMP_C_000026321",1,1,0,0,0,NA
"RAMP_C_000026336",1,1,0,0,0,NA
"RAMP_C_000026344",1,1,0,0,0,NA
"RAMP_C_000026347",1,1,0,0,0,NA
"RAMP_C_000026355",1,1,0,0,0,NA
"RAMP_C_000026366",1,1,0,0,0,NA
"RAMP_C_000026374",1,1,0,0,0,NA
"RAMP_C_000026385",1,1,0,0,0,NA
"RAMP_C_000026391",1,1,0,0,0,NA
"RAMP_C_000026398",1,1,0,0,0,NA
"RAMP_C_000026407",1,1,0,0,0,NA
"RAMP_C_000026408",1,1,0,0,0,NA
"RAMP_C_000026411",1,1,0,0,0,NA
"RAMP_C_000026429",1,1,0,0,0,NA
"RAMP_C_000026448",1,1,0,0,0,NA
"RAMP_C_000026486",1,1,0,0,0,NA
"RAMP_C_000026497",1,1,0,0,0,NA
"RAMP_C_000026500",1,1,0,0,0,NA
"RAMP_C_000026509",1,1,0,0,0,NA
"RAMP_C_000026517",1,1,0,0,0,NA
"RAMP_C_000026530",1,1,0,0,0,NA
"RAMP_C_000026538",1,1,0,0,0,NA
"RAMP_C_000026542",1,1,0,0,0,NA
"RAMP_C_000026560",1,1,0,0,0,NA
"RAMP_C_000026561",1,1,0,0,0,NA
"RAMP_C_000026573",1,1,0,0,0,NA
"RAMP_C_000026581",1,1,0,0,0,NA
"RAMP_C_000026593",1,1,0,0,0,NA
"RAMP_C_000026602",1,1,0,0,0,NA
"RAMP_C_000026612",1,1,0,0,0,NA
"RAMP_C_000026623",1,1,0,0,0,NA
"RAMP_C_000026631",1,1,0,0,0,NA
"RAMP_C_000026635",1,1,0,0,0,NA
"RAMP_C_000026672",1,1,0,0,0,NA
"RAMP_C_000026680",1,1,0,0,0,NA
"RAMP_C_000026691",1,1,0,0,0,NA
"RAMP_C_000026707",1,1,0,0,0,NA
"RAMP_C_000026730",1,1,0,0,0,NA
"RAMP_C_000026731",1,1,0,0,0,NA
"RAMP_C_000026732",1,1,0,0,0,NA
"RAMP_C_000026736",1,1,0,0,0,NA
"RAMP_C_000026742",1,1,0,0,0,NA
"RAMP_C_000026749",1,1,0,0,0,NA
"RAMP_C_000026776",1,1,0,0,0,NA
"RAMP_C_000026780",1,1,0,0,0,NA
"RAMP_C_000026788",1,1,0,0,0,NA
"RAMP_C_000026821",1,1,0,0,0,NA
"RAMP_C_000026824",1,1,0,0,0,NA
"RAMP_C_000026835",1,1,0,0,0,NA
"RAMP_C_000026838",1,1,0,0,0,NA
"RAMP_C_000026852",1,1,0,0,0,NA
"RAMP_C_000026870",1,1,0,0,0,NA
"RAMP_C_000026875",1,1,0,0,0,NA
"RAMP_C_000026880",1,1,0,0,0,NA
"RAMP_C_000026884",1,1,0,0,0,NA
"RAMP_C_000026903",1,1,0,0,0,NA
"RAMP_C_000026912",1,1,0,0,0,NA
"RAMP_C_000026956",1,1,0,0,0,NA
"RAMP_C_000026963",1,1,0,0,0,NA
"RAMP_C_000026984",1,1,0,0,0,NA
"RAMP_C_000026998",1,1,0,0,0,NA
"RAMP_C_000027000",1,1,0,0,0,NA
"RAMP_C_000027002",1,1,0,0,0,NA
"RAMP_C_000027003",1,1,0,0,0,NA
"RAMP_C_000027030",1,1,0,0,0,NA
"RAMP_C_000027078",1,1,0,0,0,NA
"RAMP_C_000027101",1,1,0,0,0,NA
"RAMP_C_000027109",1,1,0,0,0,NA
"RAMP_C_000027122",1,1,0,0,0,NA
"RAMP_C_000027127",1,1,0,0,0,NA
"RAMP_C_000027142",1,1,0,0,0,NA
"RAMP_C_000027182",1,1,0,0,0,NA
"RAMP_C_000027237",1,1,0,0,0,NA
"RAMP_C_000027268",1,1,0,0,0,NA
"RAMP_C_000027277",1,1,0,0,0,NA
"RAMP_C_000027280",1,1,0,0,0,NA
"RAMP_C_000027291",1,1,0,0,0,NA
"RAMP_C_000027302",1,1,0,0,0,NA
"RAMP_C_000027323",1,1,0,0,0,NA
"RAMP_C_000027329",1,1,0,0,0,NA
"RAMP_C_000027338",1,1,0,0,0,NA
"RAMP_C_000027350",1,1,0,0,0,NA
"RAMP_C_000027379",1,1,0,0,0,NA
"RAMP_C_000027402",1,1,0,0,0,NA
"RAMP_C_000027434",1,1,0,0,0,NA
"RAMP_C_000027441",1,1,0,0,0,NA
"RAMP_C_000027446",1,1,0,0,0,NA
"RAMP_C_000027452",1,1,0,0,0,NA
"RAMP_C_000027486",1,1,0,0,0,NA
"RAMP_C_000027494",1,1,0,0,0,NA
"RAMP_C_000027504",1,1,0,0,0,NA
"RAMP_C_000027522",1,1,0,0,0,NA
"RAMP_C_000027527",1,1,0,0,0,NA
"RAMP_C_000027531",1,1,0,0,0,NA
"RAMP_C_000027536",1,1,0,0,0,NA
"RAMP_C_000027563",1,1,0,0,0,NA
"RAMP_C_000027567",1,1,0,0,0,NA
"RAMP_C_000027573",1,1,0,0,0,NA
"RAMP_C_000027587",1,1,0,0,0,NA
"RAMP_C_000027646",1,1,0,0,0,NA
"RAMP_C_000027659",1,1,0,0,0,NA
"RAMP_C_000027663",1,1,0,0,0,NA
"RAMP_C_000027668",1,1,0,0,0,NA
"RAMP_C_000027687",1,1,0,0,0,NA
"RAMP_C_000027704",1,1,0,0,0,NA
"RAMP_C_000027719",1,1,0,0,0,NA
"RAMP_C_000027746",1,1,0,0,0,NA
"RAMP_C_000027753",1,1,0,0,0,NA
"RAMP_C_000027765",1,1,0,0,0,NA
"RAMP_C_000027768",1,1,0,0,0,NA
"RAMP_C_000027791",1,1,0,0,0,NA
"RAMP_C_000027792",1,1,0,0,0,NA
"RAMP_C_000027799",1,1,0,0,0,NA
"RAMP_C_000027802",1,1,0,0,0,NA
"RAMP_C_000027815",1,1,0,0,0,NA
"RAMP_C_000027818",1,1,0,0,0,NA
"RAMP_C_000027834",1,1,0,0,0,NA
"RAMP_C_000027838",1,1,0,0,0,NA
"RAMP_C_000027839",1,1,0,0,0,NA
"RAMP_C_000027842",1,1,0,0,0,NA
"RAMP_C_000027887",1,1,0,0,0,NA
"RAMP_C_000027891",1,1,0,0,0,NA
"RAMP_C_000027914",1,1,0,0,0,NA
"RAMP_C_000027935",1,1,0,0,0,NA
"RAMP_C_000027952",1,1,0,0,0,NA
"RAMP_C_000027971",1,1,0,0,0,NA
"RAMP_C_000027992",1,1,0,0,0,NA
"RAMP_C_000027996",1,1,0,0,0,NA
"RAMP_C_000027997",1,1,0,0,0,NA
"RAMP_C_000028016",1,1,0,0,0,NA
"RAMP_C_000028110",1,1,0,0,0,NA
"RAMP_C_000028129",1,1,0,0,0,NA
"RAMP_C_000028147",1,1,0,0,0,NA
"RAMP_C_000028149",1,1,0,0,0,NA
"RAMP_C_000028152",1,1,0,0,0,NA
"RAMP_C_000028158",1,1,0,0,0,NA
"RAMP_C_000028164",1,1,0,0,0,NA
"RAMP_C_000028166",1,1,0,0,0,NA
"RAMP_C_000028171",1,1,0,0,0,NA
"RAMP_C_000028180",1,1,0,0,0,NA
"RAMP_C_000028186",1,1,0,0,0,NA
"RAMP_C_000028190",1,1,0,0,0,NA
"RAMP_C_000028197",1,1,0,0,0,NA
"RAMP_C_000028226",1,1,0,0,0,NA
"RAMP_C_000028245",1,1,0,0,0,NA
"RAMP_C_000028274",1,1,0,0,0,NA
"RAMP_C_000028277",1,1,0,0,0,NA
"RAMP_C_000028282",1,1,0,0,0,NA
"RAMP_C_000028289",1,1,0,0,0,NA
"RAMP_C_000028310",1,1,0,0,0,NA
"RAMP_C_000028315",1,1,0,0,0,NA
"RAMP_C_000028316",1,1,0,0,0,NA
"RAMP_C_000028361",1,1,0,0,0,NA
"RAMP_C_000028365",1,1,0,0,0,NA
"RAMP_C_000028382",1,1,0,0,0,NA
"RAMP_C_000028391",1,1,0,0,0,NA
"RAMP_C_000028395",1,1,0,0,0,NA
"RAMP_C_000028418",1,1,0,0,0,NA
"RAMP_C_000028436",1,1,0,0,0,NA
"RAMP_C_000028443",1,1,0,0,0,NA
"RAMP_C_000028450",1,1,0,0,0,NA
"RAMP_C_000028459",1,1,0,0,0,NA
"RAMP_C_000028475",1,1,0,0,0,NA
"RAMP_C_000028502",1,1,0,0,0,NA
"RAMP_C_000028520",1,1,0,0,0,NA
"RAMP_C_000028540",1,1,0,0,0,NA
"RAMP_C_000028543",1,1,0,0,0,NA
"RAMP_C_000028547",1,1,0,0,0,NA
"RAMP_C_000028551",1,1,0,0,0,NA
"RAMP_C_000028553",1,1,0,0,0,NA
"RAMP_C_000028554",1,1,0,0,0,NA
"RAMP_C_000028566",1,1,0,0,0,NA
"RAMP_C_000028570",1,1,0,0,0,NA
"RAMP_C_000028571",1,1,0,0,0,NA
"RAMP_C_000028581",1,1,0,0,0,NA
"RAMP_C_000028588",1,1,0,0,0,NA
"RAMP_C_000028596",1,1,0,0,0,NA
"RAMP_C_000028604",1,1,0,0,0,NA
"RAMP_C_000028643",1,1,0,0,0,NA
"RAMP_C_000028649",1,1,0,0,0,NA
"RAMP_C_000028650",1,1,0,0,0,NA
"RAMP_C_000028656",1,1,0,0,0,NA
"RAMP_C_000028691",1,1,0,0,0,NA
"RAMP_C_000028700",1,1,0,0,0,NA
"RAMP_C_000028707",1,1,0,0,0,NA
"RAMP_C_000028711",1,1,0,0,0,NA
"RAMP_C_000028728",1,1,0,0,0,NA
"RAMP_C_000028762",1,1,0,0,0,NA
"RAMP_C_000028768",1,1,0,0,0,NA
"RAMP_C_000028786",1,1,0,0,0,NA
"RAMP_C_000028800",1,1,0,0,0,NA
"RAMP_C_000028842",1,1,0,0,0,NA
"RAMP_C_000028855",1,1,0,0,0,NA
"RAMP_C_000028870",1,1,0,0,0,NA
"RAMP_C_000028888",1,1,0,0,0,NA
"RAMP_C_000028892",1,1,0,0,0,NA
"RAMP_C_000028896",1,1,0,0,0,NA
"RAMP_C_000028906",1,1,0,0,0,NA
"RAMP_C_000028934",1,1,0,0,0,NA
"RAMP_C_000028945",1,1,0,0,0,NA
"RAMP_C_000028969",1,1,0,0,0,NA
"RAMP_C_000028986",1,1,0,0,0,NA
"RAMP_C_000029019",1,1,0,0,0,NA
"RAMP_C_000029023",1,1,0,0,0,NA
"RAMP_C_000029026",1,1,0,0,0,NA
"RAMP_C_000029040",1,1,0,0,0,NA
"RAMP_C_000029049",1,1,0,0,0,NA
"RAMP_C_000029065",1,1,0,0,0,NA
"RAMP_C_000029083",1,1,0,0,0,NA
"RAMP_C_000029088",1,1,0,0,0,NA
"RAMP_C_000029107",1,1,0,0,0,NA
"RAMP_C_000029118",1,1,0,0,0,NA
"RAMP_C_000029138",1,1,0,0,0,NA
"RAMP_C_000029151",1,1,0,0,0,NA
"RAMP_C_000029165",1,1,0,0,0,NA
"RAMP_C_000029171",1,1,0,0,0,NA
"RAMP_C_000029183",1,1,0,0,0,NA
"RAMP_C_000029186",1,1,0,0,0,NA
"RAMP_C_000029193",1,1,0,0,0,NA
"RAMP_C_000029196",1,1,0,0,0,NA
"RAMP_C_000029216",1,1,0,0,0,NA
"RAMP_C_000029232",1,1,0,0,0,NA
"RAMP_C_000029249",1,1,0,0,0,NA
"RAMP_C_000029252",1,1,0,0,0,NA
"RAMP_C_000029266",1,1,0,0,0,NA
"RAMP_C_000029273",1,1,0,0,0,NA
"RAMP_C_000029281",1,1,0,0,0,NA
"RAMP_C_000029300",1,1,0,0,0,NA
"RAMP_C_000029306",1,1,0,0,0,NA
"RAMP_C_000029311",1,1,0,0,0,NA
"RAMP_C_000029346",1,1,0,0,0,NA
"RAMP_C_000029351",1,1,0,0,0,NA
"RAMP_C_000029355",1,1,0,0,0,NA
"RAMP_C_000029375",1,1,0,0,0,NA
"RAMP_C_000029391",1,1,0,0,0,NA
"RAMP_C_000029392",1,1,0,0,0,NA
"RAMP_C_000029395",1,1,0,0,0,NA
"RAMP_C_000029396",1,1,0,0,0,NA
"RAMP_C_000029406",1,1,0,0,0,NA
"RAMP_C_000029418",1,1,0,0,0,NA
"RAMP_C_000029448",1,1,0,0,0,NA
"RAMP_C_000029450",1,1,0,0,0,NA
"RAMP_C_000029461",1,1,0,0,0,NA
"RAMP_C_000029468",1,1,0,0,0,NA
"RAMP_C_000029470",1,1,0,0,0,NA
"RAMP_C_000029477",1,1,0,0,0,NA
"RAMP_C_000029496",1,1,0,0,0,NA
"RAMP_C_000029508",1,1,0,0,0,NA
"RAMP_C_000029509",1,1,0,0,0,NA
"RAMP_C_000029537",1,1,0,0,0,NA
"RAMP_C_000029542",1,1,0,0,0,NA
"RAMP_C_000029548",1,1,0,0,0,NA
"RAMP_C_000029568",1,1,0,0,0,NA
"RAMP_C_000029569",1,1,0,0,0,NA
"RAMP_C_000029582",1,1,0,0,0,NA
"RAMP_C_000029591",1,1,0,0,0,NA
"RAMP_C_000029613",1,1,0,0,0,NA
"RAMP_C_000029632",1,1,0,0,0,NA
"RAMP_C_000029643",1,1,0,0,0,NA
"RAMP_C_000029653",1,1,0,0,0,NA
"RAMP_C_000029703",1,1,0,0,0,NA
"RAMP_C_000029711",1,1,0,0,0,NA
"RAMP_C_000029749",1,1,0,0,0,NA
"RAMP_C_000029755",1,1,0,0,0,NA
"RAMP_C_000029776",1,1,0,0,0,NA
"RAMP_C_000029830",1,1,0,0,0,NA
"RAMP_C_000029839",1,1,0,0,0,NA
"RAMP_C_000029841",1,1,0,0,0,NA
"RAMP_C_000029845",1,1,0,0,0,NA
"RAMP_C_000029859",1,1,0,0,0,NA
"RAMP_C_000029868",1,1,0,0,0,NA
"RAMP_C_000029877",1,1,0,0,0,NA
"RAMP_C_000029879",1,1,0,0,0,NA
"RAMP_C_000029880",1,1,0,0,0,NA
"RAMP_C_000029881",1,1,0,0,0,NA
