"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000105703",9,1,3,1,4,"(2S)-2-amino-3-(4-hydroxy-3-iodophenyl)propanoate"
"RAMP_C_000031016",260,1,4,2,216,"Magnesium"
"RAMP_C_000080193",13,1,11,1,0,"(2S)-2-Amino-4-methylpentanoate"
"RAMP_C_000033020",28,1,8,3,16,"(+)-S-Ornithine"
"RAMP_C_000000002",1,1,0,0,0,NA
"RAMP_C_000000006",1,1,0,0,0,NA
"RAMP_C_000000010",1,1,0,0,0,NA
"RAMP_C_000000020",1,1,0,0,0,NA
"RAMP_C_000000026",1,1,0,0,0,NA
"RAMP_C_000000047",1,1,0,0,0,NA
"RAMP_C_000000051",1,1,0,0,0,NA
"RAMP_C_000000055",1,1,0,0,0,NA
"RAMP_C_000000064",1,1,0,0,0,NA
"RAMP_C_000000068",1,1,0,0,0,NA
"RAMP_C_000000073",1,1,0,0,0,NA
"RAMP_C_000000106",1,1,0,0,0,NA
"RAMP_C_000000129",1,1,0,0,0,NA
"RAMP_C_000000132",1,1,0,0,0,NA
"RAMP_C_000000136",1,1,0,0,0,NA
"RAMP_C_000000137",1,1,0,0,0,NA
"RAMP_C_000000139",1,1,0,0,0,NA
"RAMP_C_000000142",1,1,0,0,0,NA
"RAMP_C_000000164",1,1,0,0,0,NA
"RAMP_C_000000167",1,1,0,0,0,NA
"RAMP_C_000000171",1,1,0,0,0,NA
"RAMP_C_000000185",1,1,0,0,0,NA
"RAMP_C_000000202",1,1,0,0,0,NA
"RAMP_C_000000203",1,1,0,0,0,NA
"RAMP_C_000000218",1,1,0,0,0,NA
"RAMP_C_000000229",1,1,0,0,0,NA
"RAMP_C_000000234",1,1,0,0,0,NA
"RAMP_C_000000240",1,1,0,0,0,NA
"RAMP_C_000000301",1,1,0,0,0,NA
"RAMP_C_000000302",1,1,0,0,0,NA
"RAMP_C_000000315",1,1,0,0,0,NA
"RAMP_C_000000320",1,1,0,0,0,NA
"RAMP_C_000000322",1,1,0,0,0,NA
"RAMP_C_000000351",1,1,0,0,0,NA
"RAMP_C_000000354",1,1,0,0,0,NA
"RAMP_C_000000363",1,1,0,0,0,NA
"RAMP_C_000000364",1,1,0,0,0,NA
"RAMP_C_000000369",1,1,0,0,0,NA
"RAMP_C_000000387",1,1,0,0,0,NA
"RAMP_C_000000408",1,1,0,0,0,NA
"RAMP_C_000000410",1,1,0,0,0,NA
"RAMP_C_000000415",1,1,0,0,0,NA
"RAMP_C_000000440",1,1,0,0,0,NA
"RAMP_C_000000443",1,1,0,0,0,NA
"RAMP_C_000000462",1,1,0,0,0,NA
"RAMP_C_000000474",1,1,0,0,0,NA
"RAMP_C_000000499",1,1,0,0,0,NA
"RAMP_C_000000513",1,1,0,0,0,NA
"RAMP_C_000000517",1,1,0,0,0,NA
"RAMP_C_000000532",1,1,0,0,0,NA
"RAMP_C_000000543",1,1,0,0,0,NA
"RAMP_C_000000544",1,1,0,0,0,NA
"RAMP_C_000000546",1,1,0,0,0,NA
"RAMP_C_000000567",1,1,0,0,0,NA
"RAMP_C_000000581",1,1,0,0,0,NA
"RAMP_C_000000606",1,1,0,0,0,NA
"RAMP_C_000000607",1,1,0,0,0,NA
"RAMP_C_000000634",1,1,0,0,0,NA
"RAMP_C_000000670",1,1,0,0,0,NA
"RAMP_C_000000722",1,1,0,0,0,NA
"RAMP_C_000000739",1,1,0,0,0,NA
"RAMP_C_000000743",1,1,0,0,0,NA
"RAMP_C_000000752",1,1,0,0,0,NA
"RAMP_C_000000793",1,1,0,0,0,NA
"RAMP_C_000000833",1,1,0,0,0,NA
"RAMP_C_000000852",1,1,0,0,0,NA
"RAMP_C_000000886",1,1,0,0,0,NA
"RAMP_C_000000908",1,1,0,0,0,NA
"RAMP_C_000000923",1,1,0,0,0,NA
"RAMP_C_000000924",1,1,0,0,0,NA
"RAMP_C_000000938",1,1,0,0,0,NA
"RAMP_C_000000942",1,1,0,0,0,NA
"RAMP_C_000000978",1,1,0,0,0,NA
"RAMP_C_000000982",1,1,0,0,0,NA
"RAMP_C_000000983",1,1,0,0,0,NA
"RAMP_C_000001007",1,1,0,0,0,NA
"RAMP_C_000001044",1,1,0,0,0,NA
"RAMP_C_000001050",1,1,0,0,0,NA
"RAMP_C_000001090",1,1,0,0,0,NA
"RAMP_C_000001094",1,1,0,0,0,NA
"RAMP_C_000001101",1,1,0,0,0,NA
"RAMP_C_000001135",1,1,0,0,0,NA
"RAMP_C_000001151",1,1,0,0,0,NA
"RAMP_C_000001183",1,1,0,0,0,NA
"RAMP_C_000001196",1,1,0,0,0,NA
"RAMP_C_000001217",1,1,0,0,0,NA
"RAMP_C_000001247",1,1,0,0,0,NA
"RAMP_C_000001252",1,1,0,0,0,NA
"RAMP_C_000001277",1,1,0,0,0,NA
"RAMP_C_000001283",1,1,0,0,0,NA
"RAMP_C_000001284",1,1,0,0,0,NA
"RAMP_C_000001288",1,1,0,0,0,NA
"RAMP_C_000001296",1,1,0,0,0,NA
"RAMP_C_000001309",1,1,0,0,0,NA
"RAMP_C_000001336",1,1,0,0,0,NA
"RAMP_C_000001348",1,1,0,0,0,NA
"RAMP_C_000001360",1,1,0,0,0,NA
"RAMP_C_000001408",1,1,0,0,0,NA
"RAMP_C_000001410",1,1,0,0,0,NA
"RAMP_C_000001467",1,1,0,0,0,NA
"RAMP_C_000001491",1,1,0,0,0,NA
"RAMP_C_000001510",1,1,0,0,0,NA
"RAMP_C_000001522",1,1,0,0,0,NA
"RAMP_C_000001525",1,1,0,0,0,NA
"RAMP_C_000001538",1,1,0,0,0,NA
"RAMP_C_000001544",1,1,0,0,0,NA
"RAMP_C_000001554",1,1,0,0,0,NA
"RAMP_C_000001588",1,1,0,0,0,NA
"RAMP_C_000001633",1,1,0,0,0,NA
"RAMP_C_000001668",1,1,0,0,0,NA
"RAMP_C_000001702",1,1,0,0,0,NA
"RAMP_C_000001707",1,1,0,0,0,NA
"RAMP_C_000001718",1,1,0,0,0,NA
"RAMP_C_000001748",1,1,0,0,0,NA
"RAMP_C_000001752",1,1,0,0,0,NA
"RAMP_C_000001779",1,1,0,0,0,NA
"RAMP_C_000001780",1,1,0,0,0,NA
"RAMP_C_000001801",1,1,0,0,0,NA
"RAMP_C_000001844",1,1,0,0,0,NA
"RAMP_C_000001922",1,1,0,0,0,NA
"RAMP_C_000001938",1,1,0,0,0,NA
"RAMP_C_000001944",1,1,0,0,0,NA
"RAMP_C_000001967",1,1,0,0,0,NA
"RAMP_C_000001985",1,1,0,0,0,NA
"RAMP_C_000002023",1,1,0,0,0,NA
"RAMP_C_000002044",1,1,0,0,0,NA
"RAMP_C_000002073",1,1,0,0,0,NA
"RAMP_C_000002076",1,1,0,0,0,NA
"RAMP_C_000002081",1,1,0,0,0,NA
"RAMP_C_000002086",1,1,0,0,0,NA
"RAMP_C_000002100",1,1,0,0,0,NA
"RAMP_C_000002104",1,1,0,0,0,NA
"RAMP_C_000002108",1,1,0,0,0,NA
"RAMP_C_000002111",1,1,0,0,0,NA
"RAMP_C_000002112",1,1,0,0,0,NA
"RAMP_C_000002137",1,1,0,0,0,NA
"RAMP_C_000002145",1,1,0,0,0,NA
"RAMP_C_000002160",1,1,0,0,0,NA
"RAMP_C_000002171",1,1,0,0,0,NA
"RAMP_C_000002174",1,1,0,0,0,NA
"RAMP_C_000002189",1,1,0,0,0,NA
"RAMP_C_000002194",1,1,0,0,0,NA
"RAMP_C_000002206",1,1,0,0,0,NA
"RAMP_C_000002216",1,1,0,0,0,NA
"RAMP_C_000002226",1,1,0,0,0,NA
"RAMP_C_000002229",1,1,0,0,0,NA
"RAMP_C_000002239",1,1,0,0,0,NA
"RAMP_C_000002244",1,1,0,0,0,NA
"RAMP_C_000002251",1,1,0,0,0,NA
"RAMP_C_000002280",1,1,0,0,0,NA
"RAMP_C_000002289",1,1,0,0,0,NA
"RAMP_C_000002295",1,1,0,0,0,NA
"RAMP_C_000002301",1,1,0,0,0,NA
"RAMP_C_000002305",1,1,0,0,0,NA
"RAMP_C_000002316",1,1,0,0,0,NA
"RAMP_C_000002340",1,1,0,0,0,NA
"RAMP_C_000002385",1,1,0,0,0,NA
"RAMP_C_000002410",1,1,0,0,0,NA
"RAMP_C_000002413",1,1,0,0,0,NA
"RAMP_C_000002464",1,1,0,0,0,NA
"RAMP_C_000002509",1,1,0,0,0,NA
"RAMP_C_000002528",1,1,0,0,0,NA
"RAMP_C_000002530",1,1,0,0,0,NA
"RAMP_C_000002560",1,1,0,0,0,NA
"RAMP_C_000002568",1,1,0,0,0,NA
"RAMP_C_000002594",1,1,0,0,0,NA
"RAMP_C_000002606",1,1,0,0,0,NA
"RAMP_C_000002615",1,1,0,0,0,NA
"RAMP_C_000002627",1,1,0,0,0,NA
"RAMP_C_000002644",1,1,0,0,0,NA
"RAMP_C_000002660",1,1,0,0,0,NA
"RAMP_C_000002671",1,1,0,0,0,NA
"RAMP_C_000002682",1,1,0,0,0,NA
"RAMP_C_000002752",1,1,0,0,0,NA
"RAMP_C_000002771",1,1,0,0,0,NA
"RAMP_C_000002772",1,1,0,0,0,NA
"RAMP_C_000002775",1,1,0,0,0,NA
"RAMP_C_000002784",1,1,0,0,0,NA
"RAMP_C_000002791",1,1,0,0,0,NA
"RAMP_C_000002802",1,1,0,0,0,NA
"RAMP_C_000002808",1,1,0,0,0,NA
"RAMP_C_000002816",1,1,0,0,0,NA
"RAMP_C_000002818",1,1,0,0,0,NA
"RAMP_C_000002834",1,1,0,0,0,NA
"RAMP_C_000002843",1,1,0,0,0,NA
"RAMP_C_000002853",1,1,0,0,0,NA
"RAMP_C_000002859",1,1,0,0,0,NA
"RAMP_C_000002862",1,1,0,0,0,NA
"RAMP_C_000002864",1,1,0,0,0,NA
"RAMP_C_000002911",1,1,0,0,0,NA
"RAMP_C_000002918",1,1,0,0,0,NA
"RAMP_C_000002926",1,1,0,0,0,NA
"RAMP_C_000002929",1,1,0,0,0,NA
"RAMP_C_000002934",1,1,0,0,0,NA
"RAMP_C_000002935",1,1,0,0,0,NA
"RAMP_C_000002944",1,1,0,0,0,NA
"RAMP_C_000002952",1,1,0,0,0,NA
"RAMP_C_000002965",1,1,0,0,0,NA
"RAMP_C_000002967",1,1,0,0,0,NA
"RAMP_C_000002968",1,1,0,0,0,NA
"RAMP_C_000002983",1,1,0,0,0,NA
"RAMP_C_000002988",1,1,0,0,0,NA
"RAMP_C_000002991",1,1,0,0,0,NA
"RAMP_C_000002993",1,1,0,0,0,NA
"RAMP_C_000003015",1,1,0,0,0,NA
"RAMP_C_000003028",1,1,0,0,0,NA
"RAMP_C_000003035",1,1,0,0,0,NA
"RAMP_C_000003042",1,1,0,0,0,NA
"RAMP_C_000003045",1,1,0,0,0,NA
"RAMP_C_000003059",1,1,0,0,0,NA
"RAMP_C_000003068",1,1,0,0,0,NA
"RAMP_C_000003070",1,1,0,0,0,NA
"RAMP_C_000003078",1,1,0,0,0,NA
"RAMP_C_000003084",1,1,0,0,0,NA
"RAMP_C_000003088",1,1,0,0,0,NA
"RAMP_C_000003099",1,1,0,0,0,NA
"RAMP_C_000003104",1,1,0,0,0,NA
"RAMP_C_000003106",1,1,0,0,0,NA
"RAMP_C_000003107",1,1,0,0,0,NA
"RAMP_C_000003112",1,1,0,0,0,NA
"RAMP_C_000003120",1,1,0,0,0,NA
"RAMP_C_000003121",1,1,0,0,0,NA
"RAMP_C_000003133",1,1,0,0,0,NA
"RAMP_C_000003138",1,1,0,0,0,NA
"RAMP_C_000003175",1,1,0,0,0,NA
"RAMP_C_000003184",1,1,0,0,0,NA
"RAMP_C_000003192",1,1,0,0,0,NA
"RAMP_C_000003200",1,1,0,0,0,NA
"RAMP_C_000003232",1,1,0,0,0,NA
"RAMP_C_000003267",1,1,0,0,0,NA
"RAMP_C_000003269",1,1,0,0,0,NA
"RAMP_C_000003298",1,1,0,0,0,NA
"RAMP_C_000003302",1,1,0,0,0,NA
"RAMP_C_000003326",1,1,0,0,0,NA
"RAMP_C_000003331",1,1,0,0,0,NA
"RAMP_C_000003342",1,1,0,0,0,NA
"RAMP_C_000003360",1,1,0,0,0,NA
"RAMP_C_000003374",1,1,0,0,0,NA
"RAMP_C_000003381",1,1,0,0,0,NA
"RAMP_C_000003386",1,1,0,0,0,NA
"RAMP_C_000003388",1,1,0,0,0,NA
"RAMP_C_000003400",1,1,0,0,0,NA
"RAMP_C_000003420",1,1,0,0,0,NA
"RAMP_C_000003430",1,1,0,0,0,NA
"RAMP_C_000003434",1,1,0,0,0,NA
"RAMP_C_000003465",1,1,0,0,0,NA
"RAMP_C_000003481",1,1,0,0,0,NA
"RAMP_C_000003504",1,1,0,0,0,NA
"RAMP_C_000003524",1,1,0,0,0,NA
"RAMP_C_000003528",1,1,0,0,0,NA
"RAMP_C_000003569",1,1,0,0,0,NA
"RAMP_C_000003609",1,1,0,0,0,NA
"RAMP_C_000003643",1,1,0,0,0,NA
"RAMP_C_000003660",1,1,0,0,0,NA
"RAMP_C_000003672",1,1,0,0,0,NA
"RAMP_C_000003679",1,1,0,0,0,NA
"RAMP_C_000003689",1,1,0,0,0,NA
"RAMP_C_000003692",1,1,0,0,0,NA
"RAMP_C_000003720",1,1,0,0,0,NA
"RAMP_C_000003721",1,1,0,0,0,NA
